date,displacement
2016-07-01,944.5426666666664
2016-07-02,944.7410729376891
2016-07-03,944.9395475700554
2016-07-04,945.1381589251093
2016-07-05,945.3369753641945
2016-07-06,945.5360652486547
2016-07-07,945.7354969398335
2016-07-08,945.9353387990748
2016-07-09,946.1356591877222
2016-07-10,946.3365264671196
2016-07-11,946.5380089986107
2016-07-12,946.7401751435392
2016-07-13,946.9430932632489
2016-07-14,947.1468317190836
2016-07-15,947.3514588723868
2016-07-16,947.5570430845025
2016-07-17,947.7636527167742
2016-07-18,947.9713561305459
2016-07-19,948.1802216871613
2016-07-20,948.3903177479639
2016-07-21,948.6017126742977
2016-07-22,948.8144748275064
2016-07-23,949.0286725689336
2016-07-24,949.2443742599232
2016-07-25,949.4616482618188
2016-07-26,949.6805629359643
2016-07-27,949.9011866437033
2016-07-28,950.1235877463797
2016-07-29,950.3478346053371
2016-07-30,950.5739955819193
2016-07-31,950.8021390374702
2016-08-01,951.0323333333331
2016-08-02,951.2645784695085
2016-08-03,951.498601000621
2016-08-04,951.7340591199522
2016-08-05,951.9706110207834
2016-08-06,952.2079148963956
2016-08-07,952.4456289400703
2016-08-08,952.6834113450886
2016-08-09,952.9209203047322
2016-08-10,953.1578140122821
2016-08-11,953.3937506610195
2016-08-12,953.6283884442257
2016-08-13,953.8613855551823
2016-08-14,954.0924001871701
2016-08-15,954.3210905334709
2016-08-16,954.5471147873654
2016-08-17,954.7701311421356
2016-08-18,954.9897977910623
2016-08-19,955.2057729274267
2016-08-20,955.4177147445106
2016-08-21,955.6252814355948
2016-08-22,955.8281311939606
2016-08-23,956.0259222128897
2016-08-24,956.2183126856629
2016-08-25,956.4049608055619
2016-08-26,956.5855247658678
2016-08-27,956.7596627598618
2016-08-28,956.9270329808253
2016-08-29,957.0872936220396
2016-08-30,957.2401028767858
2016-08-31,957.3851189383455
2016-09-01,957.5219999999998
2016-09-02,957.6505206144534
2016-09-03,957.7709207721043
2016-09-04,957.8835568227745
2016-09-05,957.988785116285
2016-09-06,958.0869620024578
2016-09-07,958.1784438311141
2016-09-08,958.2635869520757
2016-09-09,958.342747715164
2016-09-10,958.4162824702008
2016-09-11,958.4845475670072
2016-09-12,958.5478993554052
2016-09-13,958.6066941852162
2016-09-14,958.6612884062615
2016-09-15,958.7120383683632
2016-09-16,958.7593004213425
2016-09-17,958.8034309150207
2016-09-18,958.8447861992198
2016-09-19,958.8837226237611
2016-09-20,958.9205965384663
2016-09-21,958.9557642931569
2016-09-22,958.9895822376543
2016-09-23,959.0224067217803
2016-09-24,959.0545940953564
2016-09-25,959.0865007082041
2016-09-26,959.1184829101447
2016-09-27,959.1508970510001
2016-09-28,959.1840994805918
2016-09-29,959.2184465487413
2016-09-30,959.25429460527
2016-10-01,959.2919999999998
2016-10-02,959.3318430748432
2016-10-03,959.3738001400777
2016-10-04,959.4177714980726
2016-10-05,959.4636574511964
2016-10-06,959.5113583018178
2016-10-07,959.5607743523058
2016-10-08,959.6118059050294
2016-10-09,959.6643532623574
2016-10-10,959.7183167266583
2016-10-11,959.7735966003012
2016-10-12,959.8300931856548
2016-10-13,959.8877067850883
2016-10-14,959.94633770097
2016-10-15,960.0058862356691
2016-10-16,960.0662526915543
2016-10-17,960.1273373709945
2016-10-18,960.1890405763586
2016-10-19,960.251262610015
2016-10-20,960.3139037743332
2016-10-21,960.3768643716814
2016-10-22,960.4400447044289
2016-10-23,960.5033450749445
2016-10-24,960.5666657855967
2016-10-25,960.6299071387547
2016-10-26,960.6929694367869
2016-10-27,960.7557529820626
2016-10-28,960.8181580769506
2016-10-29,960.8800850238192
2016-10-30,960.9414341250377
2016-10-31,961.0021056829751
2016-11-01,961.0619999999998
2016-11-02,961.121048085435
2016-11-03,961.1793037764209
2016-11-04,961.2368516170512
2016-11-05,961.2937761514207
2016-11-06,961.3501619236232
2016-11-07,961.4060934777531
2016-11-08,961.4616553579044
2016-11-09,961.5169321081715
