date,p_green,p_yellow,p_orange,p_red,warning_level,rate_p50,rate_p95,actual_monthly_rate
2016-08-02,1.0,0.0,0.0,0.0,0,6.17011500000001,6.903590499999933,6.325030899453054
2016-08-03,1.0,0.0,0.0,0.0,0,6.092319999999972,6.823712499999976,6.360442075511628
2016-08-04,1.0,0.0,0.0,0.0,0,6.0231299999999806,6.7431095000000365,6.3970837557577624
2016-08-05,1.0,0.0,0.0,0.0,0,5.961129999999969,6.660864499999957,6.434545772128672
2016-08-06,1.0,0.0,0.0,0.0,0,5.899280000000033,6.576987000000014,6.472417956562026
2016-08-07,1.0,0.0,0.0,0.0,0,5.835640000000069,6.498151499999971,6.510290140995494
2016-08-08,1.0,0.0,0.0,0.0,0,5.7684150000000045,6.423793000000011,6.5477521573664035
2016-08-09,1.0,0.0,0.0,0.0,0,5.695830000000001,6.348084000000005,6.584393837612652
2016-08-10,1.0,0.0,0.0,0.0,0,5.622085000000027,6.271017000000017,6.619805013671339
2016-08-11,1.0,0.0,0.0,0.0,0,5.546700000000044,6.192595499999987,6.653575517480249
2016-08-12,1.0,0.0,0.0,0.0,0,5.47542999999996,6.112891999999948,6.685295180976823
2016-08-13,1.0,0.0,0.0,0.0,0,5.403829999999971,6.022655000000003,6.71455383609873
2016-08-14,1.0,0.0,0.0,0.0,0,5.331100000000049,5.923961500000064,6.740941314783299
2016-08-15,1.0,0.0,0.0,0.0,0,5.257174999999961,5.81129749999995,6.764047448968313
2016-08-16,1.0,0.0,0.0,0.0,0,5.170524999999941,5.690695000000005,6.783462070591213
2016-08-17,1.0,0.0,0.0,0.0,0,5.081855000000019,5.57866750000008,6.798775011589669
2016-08-18,1.0,0.0,0.0,0.0,0,4.999894999999981,5.49894500000002,6.8095761039010085
2016-08-19,1.0,0.0,0.0,0.0,0,4.923400000000015,5.4150205000000025,6.815455179462788
2016-08-20,1.0,0.0,0.0,0.0,0,4.850484999999992,5.323348000000038,6.816002070212903
2016-08-21,1.0,0.0,0.0,0.0,0,4.767144999999971,5.234607999999969,6.8108066080884555
2016-08-22,1.0,0.0,0.0,0.0,0,4.675069999999948,5.144614499999989,6.799458625027
2016-08-23,1.0,0.0,0.0,0.0,0,4.589169999999967,5.053258000000045,6.781547952966434
2016-08-24,1.0,0.0,0.0,0.0,0,4.500630000000001,4.9606380000000225,6.756664423844086
2016-08-25,1.0,0.0,0.0,0.0,0,4.411270000000002,4.866685500000096,6.724397869597624
2016-08-26,1.0,0.0,0.0,0.0,0,4.323579999999993,4.771318500000035,6.68433812216449
2016-08-27,1.0,0.0,0.0,0.0,0,4.238534999999956,4.674597000000006,6.636075013482127
2016-08-28,1.0,0.0,0.0,0.0,0,4.146805000000029,4.5773079999999995,6.579198375488204
2016-08-29,1.0,0.0,0.0,0.0,0,4.0499549999999545,4.479419500000051,6.513298040120276
2016-08-30,1.0,0.0,0.0,0.0,0,3.947825000000023,4.381318499999997,6.437963839315671
2016-08-31,1.0,0.0,0.0,0.0,0,3.855130000000031,4.295479999999992,6.3527856050124
2016-09-01,1.0,0.0,0.0,0.0,0,3.762225000000001,4.207831500000009,6.257421530491342
2016-09-02,1.0,0.0,0.0,0.0,0,3.6740500000000225,4.118016500000022,6.151919613832433
2016-09-03,1.0,0.0,0.0,0.0,0,3.5843499999999153,4.025159999999993,6.0368616521520835
2016-09-04,1.0,0.0,0.0,0.0,0,3.4829050000000166,3.927033000000017,5.9129458019911
2016-09-05,1.0,0.0,0.0,0.0,0,3.3729149999999777,3.822211999999979,5.7808702198894935
2016-09-06,1.0,0.0,0.0,0.0,0,3.255859999999984,3.7110174999999628,5.641333062387503
2016-09-07,1.0,0.0,0.0,0.0,0,3.13227999999998,3.5940375000000473,5.49503248602548
2016-09-08,1.0,0.0,0.0,0.0,0,3.0027749999999855,3.4718175000000486,5.342666647343435
2016-09-09,1.0,0.0,0.0,0.0,0,2.8734750000000417,3.3446729999999887,5.184933702881949
2016-09-10,1.0,0.0,0.0,0.0,0,2.7352500000000077,3.214149500000059,5.022531809181373
2016-09-11,1.0,0.0,0.0,0.0,0,2.592154999999991,3.08146049999998,4.8561591227814915
2016-09-12,1.0,0.0,0.0,0.0,0,2.4567799999999806,2.9457559999999714,4.686513800222883
2016-09-13,1.0,0.0,0.0,0.0,0,2.305499999999938,2.8075750000000084,4.514293998046014
2016-09-14,1.0,0.0,0.0,0.0,0,2.151679999999999,2.6674135000000145,4.340197872790668
2016-09-15,1.0,0.0,0.0,0.0,0,1.9963999999999373,2.524598999999966,4.164923580997765
2016-09-16,1.0,0.0,0.0,0.0,0,1.8431249999999864,2.376090000000016,3.9891692792068625
2016-09-17,1.0,0.0,0.0,0.0,0,1.691569999999956,2.231863499999957,3.813633123958425
2016-09-18,1.0,0.0,0.0,0.0,0,1.547845000000052,2.0905975000000065,3.6390132717931465
2016-09-19,1.0,0.0,0.0,0.0,0,1.402764999999988,1.9498750000000364,3.466007879250469
2016-09-20,1.0,0.0,0.0,0.0,0,1.2496849999999995,1.8156149999999904,3.2953151028714274
2016-09-21,1.0,0.0,0.0,0.0,0,1.0911250000000905,1.6975970000000236,3.1276330991962595
2016-09-22,1.0,0.0,0.0,0.0,0,0.9272450000000276,1.5811629999999401,2.9636600247646356
2016-09-23,1.0,0.0,0.0,0.0,0,0.7688150000000746,1.4592899999999236,2.8040940361173625
2016-09-24,1.0,0.0,0.0,0.0,0,0.6183399999999892,1.3513854999999968,2.6496332897944512
2016-09-25,1.0,0.0,0.0,0.0,0,0.4708599999999592,1.2461300000000097,2.500975942336254
2016-09-26,1.0,0.0,0.0,0.0,0,0.3266350000000102,1.1438740000000043,2.358820150282895
2016-09-27,1.0,0.0,0.0,0.0,0,0.18812500000001364,1.0447965000000343,2.223864070174841
2016-09-28,1.0,0.0,0.0,0.0,0,0.05930999999998221,0.9476375000000408,2.096805858552216
2016-09-29,1.0,0.0,0.0,0.0,0,-0.07053999999999405,0.8535914999999867,1.9783436719554857
2016-09-30,1.0,0.0,0.0,0.0,0,-0.19789499999995996,0.7636905000000289,1.8691756669245478
2016-10-01,1.0,0.0,0.0,0.0,0,-0.31883499999997866,0.6780994999999954,1.7699999999999818
2016-10-02,1.0,0.0,0.0,0.0,0,-0.4329500000000053,0.597222999999979,1.6813224603897652
2016-10-03,1.0,0.0,0.0,0.0,0,-0.5394400000000132,0.5215714999999868,1.6028793679734008
2016-10-04,1.0,0.0,0.0,0.0,0,-0.6361200000000053,0.45236750000004167,1.5342146752981307
2016-10-05,1.0,0.0,0.0,0.0,0,-0.7217300000000364,0.39041849999995226,1.4748723349113106
2016-10-06,1.0,0.0,0.0,0.0,0,-0.7985699999999838,0.3353695000000123,1.424396299360069
2016-10-07,1.0,0.0,0.0,0.0,0,-0.8668799999999237,0.28685300000000147,1.3823305211916477
2016-10-08,1.0,0.0,0.0,0.0,0,-0.9269200000000524,0.24475700000001485,1.3482189529537436
2016-10-09,1.0,0.0,0.0,0.0,0,-0.9788499999999658,0.20886550000000104,1.3216055471933714
2016-10-10,1.0,0.0,0.0,0.0,0,-1.0230600000000436,0.1787159999999965,1.302034256457432
2016-10-11,1.0,0.0,0.0,0.0,0,-1.0598099999999704,0.15422149999994236,1.2890490332939635
2016-10-12,1.0,0.0,0.0,0.0,0,-1.089399999999955,0.13512549999996895,1.2821938302496392
2016-10-13,1.0,0.0,0.0,0.0,0,-1.1119549999999663,0.12114250000007519,1.281012599872156
2016-10-14,1.0,0.0,0.0,0.0,0,-1.1278300000000172,0.11196200000001612,1.2850492947085286
2016-10-15,1.0,0.0,0.0,0.0,0,-1.137459999999976,0.10747850000000697,1.2938478673058853
2016-10-16,1.0,0.0,0.0,0.0,0,-1.1408500000000004,0.1072605000000344,1.3069522702118093
2016-10-17,1.0,0.0,0.0,0.0,0,-1.1384449999999902,0.11105500000001527,1.3239064559737699
2016-10-18,1.0,0.0,0.0,0.0,0,-1.130444999999952,0.11880949999996274,1.3442543771387818
2016-10-19,1.0,0.0,0.0,0.0,0,-1.1171600000000126,0.1301099999999728,1.3675399862539734
2016-10-20,1.0,0.0,0.0,0.0,0,-1.0988100000000145,0.1446515000000026,1.3933072358669278
2016-10-21,1.0,0.0,0.0,0.0,0,-1.0757500000000277,0.16246250000004275,1.421100078524546
2016-10-22,1.0,0.0,0.0,0.0,0,-1.048219999999958,0.18270999999999654,1.4504624667746384
2016-10-23,1.0,0.0,0.0,0.0,0,-1.0163949999999886,0.2057970000000345,1.4809383531642197
2016-10-24,1.0,0.0,0.0,0.0,0,-0.9807399999999689,0.23111899999998323,1.5120716902403046
2016-10-25,1.0,0.0,0.0,0.0,0,-0.9413149999999746,0.25840249999998754,1.54340643055059
2016-10-26,1.0,0.0,0.0,0.0,0,-0.8984849999999938,0.28752949999995886,1.574486526642204
2016-10-27,1.0,0.0,0.0,0.0,0,-0.8526349999999638,0.3181499999999793,1.6048559310625023
2016-10-28,1.0,0.0,0.0,0.0,0,-0.8038250000000176,0.35005349999998353,1.6340585963587273
2016-10-29,1.0,0.0,0.0,0.0,0,-0.7525200000000041,0.3829510000000247,1.6616384750778934
2016-10-30,1.0,0.0,0.0,0.0,0,-0.6979150000000232,0.4166114999999869,1.6871395197676975
2016-10-31,1.0,0.0,0.0,0.0,0,-0.6413200000000074,0.4507599999999506,1.7101056829752679
2016-11-01,1.0,0.0,0.0,0.0,0,-0.583075000000008,0.4851725000000492,1.7301569251566207
2016-11-02,1.0,0.0,0.0,0.0,0,-0.5222200000000043,0.520125000000052,1.7472479453572305
2016-11-03,1.0,0.0,0.0,0.0,0,-0.45625499999999874,0.5569524999999367,1.761532278348227
2016-11-04,1.0,0.0,0.0,0.0,0,-0.385325000000023,0.5953945000000197,1.7731941658548749
2016-11-05,1.0,0.0,0.0,0.0,0,-0.3115799999999922,0.635031999999972,1.7824178496028935
2016-11-06,1.0,0.0,0.0,0.0,0,-0.23528500000003305,0.6755649999999712,1.7893875713174339
2016-11-07,1.0,0.0,0.0,0.0,0,-0.15678999999994403,0.7169049999999566,1.794287572723647
2016-11-08,1.0,0.0,0.0,0.0,0,-0.07650999999998476,0.7588180000000074,1.7973020955470247
2016-11-09,1.0,0.0,0.0,0.0,0,0.005290000000002237,0.8011929999999888,1.7986153815132866
2016-11-10,1.0,0.0,0.0,0.0,0,0.08809999999999718,0.8430449999999833,1.79841167234747
2016-11-11,1.0,0.0,0.0,0.0,0,0.17180000000001883,0.8848065000000641,1.7968752097750667
2016-11-12,1.0,0.0,0.0,0.0,0,0.2592499999999518,0.9266025000000067,1.7941902355211141
2016-11-13,1.0,0.0,0.0,0.0,0,0.3486050000000205,0.9680555000000365,1.790540991311559
2016-11-14,1.0,0.0,0.0,0.0,0,0.44054999999997335,1.0091680000000165,1.7861117188714388
2016-11-15,1.0,0.0,0.0,0.0,0,0.5282549999999446,1.0496694999999874,1.7810866599261317
2016-11-16,1.0,0.0,0.0,0.0,0,0.6131900000000314,1.0895180000000266,1.7756500562009023
2016-11-17,1.0,0.0,0.0,0.0,0,0.6927500000000464,1.1284124999999676,1.7699861494212428
2016-11-18,1.0,0.0,0.0,0.0,0,0.7738300000000322,1.1675050000000111,1.7642791813127587
2016-11-19,1.0,0.0,0.0,0.0,0,0.8495000000000346,1.1962700000000268,1.7587133936002601
2016-11-20,1.0,0.0,0.0,0.0,0,0.9243450000000166,1.2238249999999937,1.753473028009921
2016-11-21,1.0,0.0,0.0,0.0,0,0.9946749999999724,1.2503400000000169,1.7487423262662105
2016-11-22,1.0,0.0,0.0,0.0,0,1.0693500000000427,1.2754234999999823,1.7447055300950751
2016-11-23,1.0,0.0,0.0,0.0,0,1.1336450000000013,1.2992169999999987,1.7415468812217796
2016-11-24,1.0,0.0,0.0,0.0,0,1.1921499999999696,1.3277009999999847,1.7394506213713612
2016-11-25,1.0,0.0,0.0,0.0,0,1.2478499999999713,1.3510250000000155,1.738600992269994
2016-11-26,1.0,0.0,0.0,0.0,0,1.296069999999986,1.3830750000000023,1.7391822356421471
2016-11-27,1.0,0.0,0.0,0.0,0,1.3420699999999783,1.4282219999999768,1.7413785932136534
2016-11-28,1.0,0.0,0.0,0.0,0,1.3807499999999777,1.4683504999999626,1.7453743067098912
2016-11-29,1.0,0.0,0.0,0.0,0,1.414995000000033,1.5005950000000154,1.7513536178561253
2016-11-30,1.0,0.0,0.0,0.0,0,1.4459749999999758,1.5284059999999726,1.7595007683776203
2016-12-01,1.0,0.0,0.0,0.0,0,1.469874999999945,1.5525824999999998,1.7699999999999818
2016-12-02,1.0,0.0,0.0,0.0,0,1.4866650000000163,1.5727174999999876,1.7829493074547145
2016-12-03,1.0,0.0,0.0,0.0,0,1.4960999999999558,1.5794440000000123,1.7981016974978274
2016-12-04,1.0,0.0,0.0,0.0,0,1.5042000000000257,1.5808125000000017,1.8151239298921382
2016-12-05,1.0,0.0,0.0,0.0,0,1.5114500000000248,1.5836920000000305,1.8336827643998959
2016-12-06,1.0,0.0,0.0,0.0,0,1.5173200000000406,1.5856325000000198,1.8534449607836905
2016-12-07,1.0,0.0,0.0,0.0,0,1.5215200000000664,1.5863574999999854,1.8740772788059985
2016-12-08,1.0,0.0,0.0,0.0,0,1.5251499999999396,1.5877199999999845,1.895246478229069
2016-12-09,1.0,0.0,0.0,0.0,0,1.5297449999999344,1.588704000000024,1.9166193188157195
2016-12-10,1.0,0.0,0.0,0.0,0,1.5311599999999999,1.5914275000000486,1.9378625603280852
2016-12-11,1.0,0.0,0.0,0.0,0,1.5313600000000065,1.5907680000000597,1.9586429625287565
2016-12-12,1.0,0.0,0.0,0.0,0,1.529200000000003,1.5917230000000528,1.9786272851803233
2016-12-13,1.0,0.0,0.0,0.0,0,1.5275049999999624,1.5927924999999732,1.997482288044921
2016-12-14,1.0,0.0,0.0,0.0,0,1.528850000000034,1.5928649999999778,2.014874730885367
2016-12-15,1.0,0.0,0.0,0.0,0,1.524425000000008,1.591700000000003,2.030471373463911
2016-12-16,1.0,0.0,0.0,0.0,0,1.5176750000000538,1.589191500000021,2.0439389755432558
2016-12-17,1.0,0.0,0.0,0.0,0,1.509430000000009,1.5853195000000482,2.0549442968855374
2016-12-18,1.0,0.0,0.0,0.0,0,1.4998749999999745,1.5799845000000345,2.0631540972534594
2016-12-19,1.0,0.0,0.0,0.0,0,1.4904750000000035,1.5731630000000336,2.0682351364094984
2016-12-20,1.0,0.0,0.0,0.0,0,1.4791000000000167,1.5630669999999838,2.0698541741159033
2016-12-21,1.0,0.0,0.0,0.0,0,1.4680249999999546,1.5515545000000373,2.0676779701356054
2016-12-22,1.0,0.0,0.0,0.0,0,1.4557099999999537,1.5386324999999714,2.0613732842301715
2016-12-23,1.0,0.0,0.0,0.0,0,1.4409499999999866,1.5249375000000043,2.0506068761631013
2016-12-24,1.0,0.0,0.0,0.0,0,1.4243249999999534,1.5098984999999345,2.0350455056964165
2016-12-25,1.0,0.0,0.0,0.0,0,1.4069000000000074,1.4926499999999465,2.0143559325922524
2016-12-26,1.0,0.0,0.0,0.0,0,1.3882749999999646,1.4733425000000069,1.988204916613654
2016-12-27,1.0,0.0,0.0,0.0,0,1.3665699999999674,1.4517990000000622,1.956259217522529
2016-12-28,1.0,0.0,0.0,0.0,0,1.3431699999999864,1.427822500000002,1.9181855950819227
2016-12-29,1.0,0.0,0.0,0.0,0,1.3178050000000212,1.4016600000000323,1.8736508090538564
2016-12-30,1.0,0.0,0.0,0.0,0,1.2904499999999643,1.375035999999983,1.822321619201034
2016-12-31,1.0,0.0,0.0,0.0,0,1.263400000000047,1.3465825000000051,1.763864785285591
2017-01-01,1.0,0.0,0.0,0.0,0,1.2321900000000028,1.3162785000000325,1.6980026071100838
2017-01-02,1.0,0.0,0.0,0.0,0,1.202175000000011,1.2837069999999984,1.6248747122526765
2017-01-03,1.0,0.0,0.0,0.0,0,1.1680749999999875,1.2477530000000172,1.5454569388040227
2017-01-04,1.0,0.0,0.0,0.0,0,1.1312849999999912,1.200161499999956,1.4609202924723377
2017-01-05,1.0,0.0,0.0,0.0,0,1.0888000000000488,1.1581900000000076,1.3724357789666328
2017-01-06,1.0,0.0,0.0,0.0,0,1.0396000000000072,1.1129409999999837,1.2811744039948962
2017-01-07,1.0,0.0,0.0,0.0,0,0.9906350000000543,1.071368500000034,1.188307173266253
2017-01-08,1.0,0.0,0.0,0.0,0,0.9452449999999999,1.0262149999999963,1.095005092488691
2017-01-09,1.0,0.0,0.0,0.0,0,0.9004799999999591,0.9776100000000042,1.0024391673712216
2017-01-10,1.0,0.0,0.0,0.0,0,0.8496999999999844,0.9324799999999414,0.9117804036220605
2017-01-11,1.0,0.0,0.0,0.0,0,0.7987749999999778,0.8912449999999807,0.8241998069499914
2017-01-12,1.0,0.0,0.0,0.0,0,0.7501599999999939,0.8470634999999731,0.7408683830633436
2017-01-13,1.0,0.0,0.0,0.0,0,0.7028000000000247,0.804582500000032,0.6629571376707872
2017-01-14,1.0,0.0,0.0,0.0,0,0.6625599999999849,0.7671699999999645,0.5916370764809926
2017-01-15,1.0,0.0,0.0,0.0,0,0.6226599999999962,0.7327055000000428,0.5280792052020615
2017-01-16,1.0,0.0,0.0,0.0,0,0.5862150000000383,0.7015130000000283,0.4734545295428916
2017-01-17,1.0,0.0,0.0,0.0,0,0.5539850000000115,0.6738445000000467,0.428934055212153
2017-01-18,1.0,0.0,0.0,0.0,0,0.5267349999999738,0.6505519999999592,0.39568878791817497
2017-01-19,1.0,0.0,0.0,0.0,0,0.505094999999983,0.6319730000000333,0.37488973336928666
2017-01-20,1.0,0.0,0.0,0.0,0,0.48968499999995174,0.6186465000000907,0.3677078972741583
2017-01-21,1.0,0.0,0.0,0.0,0,0.4809349999999881,0.6112284999999928,0.3753142853420286
2017-01-22,1.0,0.0,0.0,0.0,0,0.47970000000003665,0.61014550000001,0.3988799032802035
2017-01-23,1.0,0.0,0.0,0.0,0,0.4866150000000289,0.6157820000000469,0.4395757567981491
2017-01-24,1.0,0.0,0.0,0.0,0,0.502125000000035,0.6290100000000223,0.4985728516041945
2017-01-25,1.0,0.0,0.0,0.0,0,0.5269549999999867,0.6502119999999649,0.577042193406669
2017-01-26,1.0,0.0,0.0,0.0,0,0.5617650000000367,0.6798729999999921,0.6761547879143563
2017-01-27,1.0,0.0,0.0,0.0,0,0.6069599999999582,0.7185459999999693,0.7970816408356995
2017-01-28,1.0,0.0,0.0,0.0,0,0.6626349999999661,0.7667080000000283,0.9409937578792551
2017-01-29,1.0,0.0,0.0,0.0,0,0.7285399999999527,0.8286019999999155,1.1090621447535796
2017-01-30,1.0,0.0,0.0,0.0,0,0.8110149999999976,0.9029570000000149,1.3024578071673432
2017-01-31,1.0,0.0,0.0,0.0,0,0.9085299999999847,0.9853309999999681,1.522351750828534
2017-02-01,1.0,0.0,0.0,0.0,0,1.0087700000000268,1.0863940000000354,1.7697198138283738
2017-02-02,1.0,0.0,0.0,0.0,0,1.1331250000000068,1.2050015000000258,2.044435245720365
2017-02-03,1.0,0.0,0.0,0.0,0,1.2663350000000264,1.3492829999999914,2.34488845618489
2017-02-04,1.0,0.0,0.0,0.0,0,1.440445000000011,1.534690500000022,2.669147936837362
2017-02-05,1.0,0.0,0.0,0.0,0,1.6448599999999942,1.74750300000004,3.015282179294104
2017-02-06,1.0,0.0,0.0,0.0,0,1.8760899999999765,2.00351550000002,3.38135967517087
2017-02-07,1.0,0.0,0.0,0.0,0,2.1367799999999875,2.2890815000000257,3.765448916083642
2017-02-08,1.0,0.0,0.0,0.0,0,2.4252250000000117,2.6016595000000167,4.16561839364806
2017-02-09,1.0,0.0,0.0,0.0,0,2.7337349999999674,2.9390200000000672,4.579936599480789
2017-02-10,1.0,0.0,0.0,0.0,0,3.0628000000000384,3.303102000000041,5.006472025196672
2017-02-11,1.0,0.0,0.0,0.0,0,3.4040299999999775,3.696297999999962,5.443293162412601
2017-02-12,1.0,0.0,0.0,0.0,0,3.760895000000062,4.109992,5.888468502743876
