time_index,exceed_probability,warning_level,warning_color
168,0.0,0,green
169,0.0,0,green
170,0.0,0,green
171,0.0,0,green
172,0.0,0,green
173,0.0,0,green
174,0.0,0,green
175,0.0,0,green
176,0.0,0,green
177,0.0,0,green
178,0.0,0,green
179,0.0,0,green
180,0.06,1,blue
181,0.16,1,blue
182,0.4,2,yellow
183,0.62,3,orange
184,0.86,4,red
185,0.92,4,red
186,0.92,4,red
187,0.96,4,red
188,0.96,4,red
189,0.96,4,red
190,0.96,4,red
191,0.96,4,red
192,0.96,4,red
193,0.98,4,red
194,0.98,4,red
195,0.98,4,red
196,0.98,4,red
197,0.96,4,red
198,0.96,4,red
199,0.96,4,red
200,0.96,4,red
201,0.96,4,red
202,0.94,4,red
203,0.94,4,red
204,0.94,4,red
205,0.94,4,red
206,0.94,4,red
207,0.94,4,red
208,0.92,4,red
209,0.92,4,red
210,0.9,4,red
211,0.88,4,red
212,0.88,4,red
213,0.86,4,red
214,0.86,4,red
215,0.84,4,red
216,0.84,4,red
217,0.84,4,red
218,0.82,4,red
219,0.82,4,red
220,0.8,4,red
221,0.78,3,orange
222,0.78,3,orange
223,0.78,3,orange
224,0.78,3,orange
225,0.78,3,orange
226,0.78,3,orange
227,0.78,3,orange
228,0.78,3,orange
229,0.78,3,orange
230,0.78,3,orange
231,0.78,3,orange
232,0.78,3,orange
233,0.78,3,orange
234,0.78,3,orange
235,0.78,3,orange
236,0.74,3,orange
237,0.74,3,orange
238,0.74,3,orange
239,0.72,3,orange
240,0.66,3,orange
241,0.62,3,orange
242,0.62,3,orange
243,0.6,3,orange
244,0.6,3,orange
245,0.6,3,orange
246,0.6,3,orange
247,0.6,3,orange
248,0.6,3,orange
249,0.58,3,orange
250,0.56,3,orange
251,0.5,3,orange
252,0.5,3,orange
253,0.5,3,orange
254,0.5,3,orange
255,0.46,2,yellow
256,0.46,2,yellow
257,0.42,2,yellow
258,0.38,2,yellow
259,0.34,2,yellow
260,0.3,2,yellow
261,0.3,2,yellow
262,0.3,2,yellow
263,0.32,2,yellow
264,0.28,2,yellow
