date,p_green,p_yellow,p_orange,p_red,warning_level,rate_p50,rate_p95,actual_monthly_rate
2016-08-07,1.0,0.0,0.0,0.0,0,0.8891800000000103,1.204760500000009,0.10322999999999638
2016-08-08,1.0,0.0,0.0,0.0,0,0.8910149999999817,1.2084775000000008,0.10322999999999638
2016-08-09,1.0,0.0,0.0,0.0,0,0.897484999999989,1.2122524999999769,0.10322999999999638
2016-08-10,1.0,0.0,0.0,0.0,0,0.9035550000000114,1.2092180000000041,0.10322000000002163
2016-08-11,1.0,0.0,0.0,0.0,0,0.9094550000000083,1.2133485000000377,0.10321999999996478
2016-08-12,1.0,0.0,0.0,0.0,0,0.915144999999967,1.2176395000000242,0.10321999999996478
2016-08-13,1.0,0.0,0.0,0.0,0,0.9275899999999808,1.2218360000000246,0.10322000000002163
2016-08-14,1.0,0.0,0.0,0.0,0,0.9272799999999961,1.2218090000000075,0.10322000000002163
2016-08-15,1.0,0.0,0.0,0.0,0,0.9248249999999985,1.217129000000017,0.10322999999999638
2016-08-16,1.0,0.0,0.0,0.0,0,0.9238099999999747,1.2200950000000064,0.10322999999999638
2016-08-17,1.0,0.0,0.0,0.0,0,0.9338949999999784,1.2281469999999899,0.10322999999999638
2016-08-18,1.0,0.0,0.0,0.0,0,0.9314849999999808,1.2356790000000073,0.10322999999999638
2016-08-19,1.0,0.0,0.0,0.0,0,0.9230750000000114,1.2399059999999962,0.10322999999999638
2016-08-20,1.0,0.0,0.0,0.0,0,0.9218449999999905,1.2411060000000105,0.10322999999999638
2016-08-21,1.0,0.0,0.0,0.0,0,0.9262200000000007,1.2415595000000308,0.10322999999999638
2016-08-22,1.0,0.0,0.0,0.0,0,0.9269449999999608,1.2412065000000125,0.10322000000002163
2016-08-23,1.0,0.0,0.0,0.0,0,0.923769999999962,1.2400344999999928,0.10321999999996478
2016-08-24,1.0,0.0,0.0,0.0,0,0.9216199999999901,1.2378495000000214,0.10321999999996478
