time_index,rate_mean,rate_std,rate_median,rate_p05,rate_p95,rate_min,rate_max,p_green,p_yellow,p_orange,p_red,exceed_probability
30,1.425702799999997,0.2115204859286913,1.4276600000000315,1.1124440000000249,1.7320989999999878,0.9072999999999638,2.193179999999984,1.0,0.0,0.0,0.0,0.0
31,1.4923745999999993,0.22718402402520563,1.4930900000000236,1.1496080000000064,1.826520500000012,0.9554699999999912,2.329399999999964,1.0,0.0,0.0,0.0,0.0
32,1.5607254000000024,0.2438148904244605,1.5549649999999815,1.1801675000000045,1.9229719999999868,1.004700000000014,2.468689999999981,1.0,0.0,0.0,0.0,0.0
33,1.6303838000000086,0.26121207386766077,1.6218450000000075,1.21131850000003,2.021018500000008,1.054869999999994,2.610330000000033,1.0,0.0,0.0,0.0,0.0
34,1.7009771999999987,0.279217740190153,1.6844849999999951,1.2427915000000183,2.1200410000000143,1.1055600000000254,2.7536400000000185,1.0,0.0,0.0,0.0,0.0
35,1.7721452000000055,0.29766377338993766,1.7417950000000246,1.2729614999999797,2.219653000000016,1.1565800000000195,2.897890000000018,1.0,0.0,0.0,0.0,0.0
36,1.8435266000000012,0.31638735135331286,1.7992199999999912,1.3170059999999864,2.3192865000000036,1.2076999999999884,3.0422999999999547,1.0,0.0,0.0,0.0,0.0
37,1.9147509999999988,0.33527737501498733,1.8564099999999826,1.362556000000015,2.4184995000000096,1.2585699999999633,3.1862800000000107,1.0,0.0,0.0,0.0,0.0
38,1.9854536000000007,0.3541656689636849,1.91378499999999,1.4072604999999783,2.516747000000003,1.3089899999999943,3.3290100000000393,1.0,0.0,0.0,0.0,0.0
39,2.0552644,0.3729461107712887,1.977419999999995,1.451354499999988,2.6134870000000086,1.356800000000021,3.469879999999989,1.0,0.0,0.0,0.0,0.0
40,2.123835799999996,0.39149453082472574,2.04416999999998,1.4947080000000112,2.710177499999983,1.3786699999999996,3.608060000000023,1.0,0.0,0.0,0.0,0.0
41,2.1907957999999974,0.40970034752188383,2.111575000000016,1.5369894999999758,2.80734000000001,1.399879999999996,3.7429799999999886,1.0,0.0,0.0,0.0,0.0
42,2.255791999999997,0.42743724158031937,2.173119999999983,1.5780374999999907,2.901699999999982,1.420349999999985,3.873839999999973,1.0,0.0,0.0,0.0,0.0
43,2.3184475999999963,0.444612574342552,2.2299500000000023,1.6175589999999858,2.990277000000014,1.4399500000000103,3.9999599999999873,1.0,0.0,0.0,0.0,0.0
44,2.3782804000000044,0.4610851944252858,2.284134999999992,1.6552605,3.0742465000000316,1.4584600000000023,4.120429999999999,1.0,0.0,0.0,0.0,0.0
