date,displacement
2016-07-01,262.42367
2016-07-02,262.42711
2016-07-03,262.43055
2016-07-04,262.43399
2016-07-05,262.43743
2016-07-06,262.44087
2016-07-07,262.44431
2016-07-08,262.44775
2016-07-09,262.45119
2016-07-10,262.45463
2016-07-11,262.45808
2016-07-12,262.46152
2016-07-13,262.46496
2016-07-14,262.4684
2016-07-15,262.47184
2016-07-16,262.47528
2016-07-17,262.47872
2016-07-18,262.48216
2016-07-19,262.4856
2016-07-20,262.48904
2016-07-21,262.49248
2016-07-22,262.49592
2016-07-23,262.49937
2016-07-24,262.50281
2016-07-25,262.50625
2016-07-26,262.50969
2016-07-27,262.51313
2016-07-28,262.51657
2016-07-29,262.52001
2016-07-30,262.52345
2016-07-31,262.52689
2016-08-01,262.53033
2016-08-02,262.53377
2016-08-03,262.53722
2016-08-04,262.54066
2016-08-05,262.5441
2016-08-06,262.54754
2016-08-07,262.55098
2016-08-08,262.55442
2016-08-09,262.55786
2016-08-10,262.5613
2016-08-11,262.56474
2016-08-12,262.56818
2016-08-13,262.57162
2016-08-14,262.57506
2016-08-15,262.57851
2016-08-16,262.58195
2016-08-17,262.58539
2016-08-18,262.58883
2016-08-19,262.59227
2016-08-20,262.59571
2016-08-21,262.59915
2016-08-22,262.60259
2016-08-23,262.60603
2016-08-24,262.60947
2016-08-25,262.61291
2016-08-26,262.61635
2016-08-27,262.6198
2016-08-28,262.62324
2016-08-29,262.62668
2016-08-30,262.63012
2016-08-31,262.63356
2016-09-01,262.637
2016-09-02,262.63242
2016-09-03,262.61235
2016-09-04,262.57761
2016-09-05,262.52902
2016-09-06,262.46741
2016-09-07,262.39359
2016-09-08,262.30839
2016-09-09,262.21263
2016-09-10,262.10713
2016-09-11,261.99271
2016-09-12,261.87019
2016-09-13,261.7404
2016-09-14,261.60416
2016-09-15,261.46228
2016-09-16,261.3156
2016-09-17,261.16493
2016-09-18,261.01109
2016-09-19,260.85491
2016-09-20,260.69721
2016-09-21,260.53881
2016-09-22,260.38052
2016-09-23,260.22318
2016-09-24,260.06761
2016-09-25,259.91462
2016-09-26,259.76504
2016-09-27,259.61968
2016-09-28,259.47938
2016-09-29,259.34495
2016-09-30,259.21722
2016-10-01,259.097
2016-10-02,258.97736
2016-10-03,258.85128
2016-10-04,258.71946
2016-10-05,258.58261
2016-10-06,258.44143
2016-10-07,258.29662
2016-10-08,258.14889
2016-10-09,257.99895
2016-10-10,257.84749
2016-10-11,257.69522
2016-10-12,257.54284
2016-10-13,257.39106
2016-10-14,257.24059
2016-10-15,257.09212
2016-10-16,256.94636
2016-10-17,256.80401
2016-10-18,256.66578
2016-10-19,256.53237
2016-10-20,256.40448
2016-10-21,256.28283
2016-10-22,256.1681
2016-10-23,256.06102
2016-10-24,255.96227
2016-10-25,255.87257
2016-10-26,255.79261
2016-10-27,255.72311
2016-10-28,255.66476
2016-10-29,255.61827
2016-10-30,255.58434
2016-10-31,255.56369
2016-11-01,255.557
2016-11-02,255.55878
2016-11-03,255.56296
2016-11-04,255.56942
2016-11-05,255.57803
2016-11-06,255.58865
2016-11-07,255.60116
2016-11-08,255.61544
2016-11-09,255.63134
2016-11-10,255.64875
2016-11-11,255.66754
2016-11-12,255.68757
2016-11-13,255.70872
2016-11-14,255.73085
2016-11-15,255.75385
2016-11-16,255.77757
2016-11-17,255.8019
2016-11-18,255.82671
2016-11-19,255.85185
2016-11-20,255.87722
2016-11-21,255.90267
2016-11-22,255.92808
2016-11-23,255.95332
2016-11-24,255.97826
2016-11-25,256.00277
2016-11-26,256.02673
2016-11-27,256.05
2016-11-28,256.07246
2016-11-29,256.09398
2016-11-30,256.11442
2016-12-01,256.13367
2016-12-02,256.15227
2016-12-03,256.17087
2016-12-04,256.18947
2016-12-05,256.20808
2016-12-06,256.22668
2016-12-07,256.24528
2016-12-08,256.26388
2016-12-09,256.28248
2016-12-10,256.30109
2016-12-11,256.31969
2016-12-12,256.33829
2016-12-13,256.35689
2016-12-14,256.37549
2016-12-15,256.3941
2016-12-16,256.4127
2016-12-17,256.4313
2016-12-18,256.4499
2016-12-19,256.46851
2016-12-20,256.48711
2016-12-21,256.50571
2016-12-22,256.52431
2016-12-23,256.54291
2016-12-24,256.56152
2016-12-25,256.58012
2016-12-26,256.59872
2016-12-27,256.61732
2016-12-28,256.63592
2016-12-29,256.65453
2016-12-30,256.67313
2016-12-31,256.69173
2017-01-01,256.71033
2017-01-02,256.72894
2017-01-03,256.74754
2017-01-04,256.76614
2017-01-05,256.78474
2017-01-06,256.80334
2017-01-07,256.82195
2017-01-08,256.84055
2017-01-09,256.85915
2017-01-10,256.87775
2017-01-11,256.89635
2017-01-12,256.91496
2017-01-13,256.93356
2017-01-14,256.95216
2017-01-15,256.97076
2017-01-16,256.98937
2017-01-17,257.00797
2017-01-18,257.02657
2017-01-19,257.04517
2017-01-20,257.06377
2017-01-21,257.08238
2017-01-22,257.10098
2017-01-23,257.11958
2017-01-24,257.13818
2017-01-25,257.15678
2017-01-26,257.17539
2017-01-27,257.19399
2017-01-28,257.21259
2017-01-29,257.23119
2017-01-30,257.2498
2017-01-31,257.2684
2017-02-01,257.287
2017-02-02,257.32904
2017-02-03,257.41616
2017-02-04,257.54568
2017-02-05,257.71493
2017-02-06,257.92122
2017-02-07,258.16187
2017-02-08,258.43421
2017-02-09,258.73555
2017-02-10,259.06322
2017-02-11,259.41453
2017-02-12,259.78681
2017-02-13,260.17738
2017-02-14,260.58355
2017-02-15,261.00265
2017-02-16,261.43199
2017-02-17,261.8689
2017-02-18,262.3107
2017-02-19,262.75471
2017-02-20,263.19824
2017-02-21,263.63863
2017-02-22,264.07318
2017-02-23,264.49922
2017-02-24,264.91407
2017-02-25,265.31505
2017-02-26,265.69948
2017-02-27,266.06468
2017-02-28,266.40797
2017-03-01,266.72667
2017-03-02,267.03206
2017-03-03,267.33721
2017-03-04,267.64216
2017-03-05,267.9469
2017-03-06,268.25146
2017-03-07,268.55587
2017-03-08,268.86013
2017-03-09,269.16426
2017-03-10,269.46829
2017-03-11,269.77223
2017-03-12,270.0761
2017-03-13,270.37992
2017-03-14,270.6837
2017-03-15,270.98746
2017-03-16,271.29123
2017-03-17,271.59501
2017-03-18,271.89883
2017-03-19,272.20271
2017-03-20,272.50666
2017-03-21,272.8107
2017-03-22,273.11485
2017-03-23,273.41912
2017-03-24,273.72355
2017-03-25,274.02813
2017-03-26,274.3329
2017-03-27,274.63787
2017-03-28,274.94306
2017-03-29,275.24848
2017-03-30,275.55415
2017-03-31,275.8601
2017-04-01,276.16633
2017-04-02,276.47622
2017-04-03,276.79266
2017-04-04,277.11498
2017-04-05,277.44253
2017-04-06,277.77463
2017-04-07,278.11061
2017-04-08,278.44981
2017-04-09,278.79157
2017-04-10,279.13521
2017-04-11,279.48006
2017-04-12,279.82547
2017-04-13,280.17077
2017-04-14,280.51528
2017-04-15,280.85834
2017-04-16,281.19928
2017-04-17,281.53744
2017-04-18,281.87215
2017-04-19,282.20275
