date,p_green,p_yellow,p_orange,p_red,warning_level,rate_p50,rate_p95,actual_monthly_rate
2016-08-02,1.0,0.0,0.0,0.0,0,4.067650000000015,4.705440000000009,6.333775160883761
2016-08-03,1.0,0.0,0.0,0.0,0,4.036895000000015,4.670077499999979,6.37611221984946
2016-08-04,1.0,0.0,0.0,0.0,0,4.006000000000029,4.634643,6.419920450748236
2016-08-05,1.0,0.0,0.0,0.0,0,3.9726650000000063,4.598645499999992,6.46470946293573
2016-08-06,1.0,0.0,0.0,0.0,0,3.935220000000072,4.561784500000004,6.509988865767809
2016-08-07,1.0,0.0,0.0,0.0,0,3.8970750000000294,4.5242320000000005,6.555268268600003
2016-08-08,1.0,0.0,0.0,0.0,0,3.8592800000000125,4.485951499999987,6.60005728078761
2016-08-09,1.0,0.0,0.0,0.0,0,3.8300499999999715,4.447582500000044,6.643865511686272
2016-08-10,1.0,0.0,0.0,0.0,0,3.8082599999999616,4.411441499999995,6.686202570652085
2016-08-11,1.0,0.0,0.0,0.0,0,3.782199999999989,4.384326000000033,6.726578067040123
2016-08-12,1.0,0.0,0.0,0.0,0,3.744494999999972,4.366325000000006,6.764501610206366
2016-08-13,1.0,0.0,0.0,0.0,0,3.6988100000000372,4.347212500000046,6.799482809506117
2016-08-14,1.0,0.0,0.0,0.0,0,3.661670000000015,4.326803499999988,6.831031274295242
2016-08-15,1.0,0.0,0.0,0.0,0,3.6258700000000204,4.305013499999984,6.858656613929156
2016-08-16,1.0,0.0,0.0,0.0,0,3.5858349999999746,4.281693000000024,6.881868437763501
2016-08-17,1.0,0.0,0.0,0.0,0,3.5390500000000316,4.253031999999979,6.900176355154144
2016-08-18,1.0,0.0,0.0,0.0,0,3.50950499999999,4.214700999999974,6.913089975456387
2016-08-19,1.0,0.0,0.0,0.0,0,3.471299999999985,4.177124999999961,6.92011890802587
2016-08-20,1.0,0.0,0.0,0.0,0,3.4266000000000076,4.137715000000003,6.920772762218576
2016-08-21,1.0,0.0,0.0,0.0,0,3.3821849999999927,4.096353000000005,6.914561147389577
2016-08-22,1.0,0.0,0.0,0.0,0,3.3332399999999893,4.0488684999999975,6.900993672894856
2016-08-23,1.0,0.0,0.0,0.0,0,3.2924299999999675,3.9934544999999217,6.879579948089827
2016-08-24,1.0,0.0,0.0,0.0,0,3.2416150000000243,3.9360445000000137,6.8498295823301305
2016-08-25,1.0,0.0,0.0,0.0,0,3.185540000000003,3.876779999999928,6.8112521849714085
2016-08-26,1.0,0.0,0.0,0.0,0,3.1322000000000116,3.815580000000051,6.763357365369302
2016-08-27,1.0,0.0,0.0,0.0,0,3.08322000000004,3.752286500000042,6.705654732879452
2016-08-28,1.0,0.0,0.0,0.0,0,3.0306249999999864,3.6868625000000743,6.637653896857387
2016-08-29,1.0,0.0,0.0,0.0,0,2.9721000000000117,3.619262500000002,6.558864466658747
2016-08-30,1.0,0.0,0.0,0.0,0,2.912050000000022,3.5494540000000763,6.468796051639174
2016-08-31,1.0,0.0,0.0,0.0,0,2.8511649999999804,3.4771920000000134,6.366958261154082
2016-09-01,1.0,0.0,0.0,0.0,0,2.79224499999998,3.4026679999999825,6.252942436333456
2016-09-02,1.0,0.0,0.0,0.0,0,2.7250250000000165,3.3258625000000217,6.126805857386216
2016-09-03,1.0,0.0,0.0,0.0,0,2.65625,3.246594000000038,5.989243584229371
2016-09-04,1.0,0.0,0.0,0.0,0,2.585450000000037,3.1625595000000315,5.8410896887621675
2016-09-05,1.0,0.0,0.0,0.0,0,2.5055699999999774,3.072002500000053,5.683178242885106
