time_index,exceed_probability,p_green,p_yellow,p_orange,p_red,warning_level,warning_color
75,0.0,1.0,0.0,0.0,0.0,0,green
76,0.0,1.0,0.0,0.0,0.0,0,green
77,0.0,1.0,0.0,0.0,0.0,0,green
78,0.0,1.0,0.0,0.0,0.0,0,green
79,0.0,1.0,0.0,0.0,0.0,0,green
80,0.0,1.0,0.0,0.0,0.0,0,green
81,0.0,1.0,0.0,0.0,0.0,0,green
82,0.0,1.0,0.0,0.0,0.0,0,green
83,0.0,1.0,0.0,0.0,0.0,0,green
84,0.0,1.0,0.0,0.0,0.0,0,green
85,0.0,1.0,0.0,0.0,0.0,0,green
86,0.0,1.0,0.0,0.0,0.0,0,green
87,0.0,1.0,0.0,0.0,0.0,0,green
88,0.0,1.0,0.0,0.0,0.0,0,green
89,0.0,1.0,0.0,0.0,0.0,0,green
90,0.0,1.0,0.0,0.0,0.0,0,green
91,0.0,1.0,0.0,0.0,0.0,0,green
92,0.0,1.0,0.0,0.0,0.0,0,green
93,0.0,1.0,0.0,0.0,0.0,0,green
94,0.0,1.0,0.0,0.0,0.0,0,green
95,0.0,1.0,0.0,0.0,0.0,0,green
96,0.0,1.0,0.0,0.0,0.0,0,green
97,0.0,1.0,0.0,0.0,0.0,0,green
98,0.0,1.0,0.0,0.0,0.0,0,green
99,0.0,1.0,0.0,0.0,0.0,0,green
100,0.0,1.0,0.0,0.0,0.0,0,green
101,0.0,1.0,0.0,0.0,0.0,0,green
102,0.0,1.0,0.0,0.0,0.0,0,green
103,0.0,1.0,0.0,0.0,0.0,0,green
104,0.0,1.0,0.0,0.0,0.0,0,green
105,0.0,1.0,0.0,0.0,0.0,0,green
106,0.0,1.0,0.0,0.0,0.0,0,green
107,0.0,1.0,0.0,0.0,0.0,0,green
108,0.0,1.0,0.0,0.0,0.0,0,green
109,0.0,1.0,0.0,0.0,0.0,0,green
110,0.0,1.0,0.0,0.0,0.0,0,green
111,0.0,1.0,0.0,0.0,0.0,0,green
112,0.0,1.0,0.0,0.0,0.0,0,green
113,0.0,1.0,0.0,0.0,0.0,0,green
114,0.0,1.0,0.0,0.0,0.0,0,green
115,0.0,1.0,0.0,0.0,0.0,0,green
116,0.0,1.0,0.0,0.0,0.0,0,green
117,0.0,1.0,0.0,0.0,0.0,0,green
118,0.0,1.0,0.0,0.0,0.0,0,green
119,0.0,1.0,0.0,0.0,0.0,0,green
120,0.0,1.0,0.0,0.0,0.0,0,green
121,0.0,1.0,0.0,0.0,0.0,0,green
122,0.0,1.0,0.0,0.0,0.0,0,green
123,0.0,1.0,0.0,0.0,0.0,0,green
124,0.0,1.0,0.0,0.0,0.0,0,green
125,0.0,1.0,0.0,0.0,0.0,0,green
126,0.0,1.0,0.0,0.0,0.0,0,green
127,0.0,1.0,0.0,0.0,0.0,0,green
128,0.0,1.0,0.0,0.0,0.0,0,green
129,0.0,1.0,0.0,0.0,0.0,0,green
130,0.0,1.0,0.0,0.0,0.0,0,green
131,0.0,1.0,0.0,0.0,0.0,0,green
132,0.0,1.0,0.0,0.0,0.0,0,green
133,0.0,1.0,0.0,0.0,0.0,0,green
134,0.0,1.0,0.0,0.0,0.0,0,green
135,0.0,1.0,0.0,0.0,0.0,0,green
136,0.0,1.0,0.0,0.0,0.0,0,green
137,0.0,1.0,0.0,0.0,0.0,0,green
138,0.0,1.0,0.0,0.0,0.0,0,green
139,0.0,1.0,0.0,0.0,0.0,0,green
140,0.0,1.0,0.0,0.0,0.0,0,green
141,0.0,1.0,0.0,0.0,0.0,0,green
142,0.0,1.0,0.0,0.0,0.0,0,green
143,0.0,1.0,0.0,0.0,0.0,0,green
144,0.0,1.0,0.0,0.0,0.0,0,green
145,0.0,1.0,0.0,0.0,0.0,0,green
146,0.0,1.0,0.0,0.0,0.0,0,green
147,0.0,1.0,0.0,0.0,0.0,0,green
148,0.0,1.0,0.0,0.0,0.0,0,green
149,0.0,1.0,0.0,0.0,0.0,0,green
150,0.0,1.0,0.0,0.0,0.0,0,green
151,0.0,1.0,0.0,0.0,0.0,0,green
152,0.0,1.0,0.0,0.0,0.0,0,green
153,0.0,1.0,0.0,0.0,0.0,0,green
154,0.0,1.0,0.0,0.0,0.0,0,green
155,0.0,1.0,0.0,0.0,0.0,0,green
156,0.0,1.0,0.0,0.0,0.0,0,green
157,0.0,1.0,0.0,0.0,0.0,0,green
158,0.0,1.0,0.0,0.0,0.0,0,green
159,0.0,1.0,0.0,0.0,0.0,0,green
160,0.0,1.0,0.0,0.0,0.0,0,green
161,0.0,1.0,0.0,0.0,0.0,0,green
162,0.0,1.0,0.0,0.0,0.0,0,green
163,0.0,1.0,0.0,0.0,0.0,0,green
164,0.0,1.0,0.0,0.0,0.0,0,green
165,0.0,1.0,0.0,0.0,0.0,0,green
166,0.0,1.0,0.0,0.0,0.0,0,green
167,0.0,1.0,0.0,0.0,0.0,0,green
168,0.0,1.0,0.0,0.0,0.0,0,green
169,0.0,1.0,0.0,0.0,0.0,0,green
170,0.0,1.0,0.0,0.0,0.0,0,green
171,0.0,1.0,0.0,0.0,0.0,0,green
172,0.0,1.0,0.0,0.0,0.0,0,green
173,0.0,1.0,0.0,0.0,0.0,0,green
174,0.0,1.0,0.0,0.0,0.0,0,green
175,0.0,1.0,0.0,0.0,0.0,0,green
176,0.0,1.0,0.0,0.0,0.0,0,green
177,0.0,1.0,0.0,0.0,0.0,0,green
178,0.0,1.0,0.0,0.0,0.0,0,green
179,0.0,1.0,0.0,0.0,0.0,0,green
180,0.0,1.0,0.0,0.0,0.0,0,green
181,0.0,1.0,0.0,0.0,0.0,0,green
182,0.0,1.0,0.0,0.0,0.0,0,green
183,0.0,1.0,0.0,0.0,0.0,0,green
184,0.0,1.0,0.0,0.0,0.0,0,green
185,0.0,1.0,0.0,0.0,0.0,0,green
186,0.0,1.0,0.0,0.0,0.0,0,green
187,0.0,1.0,0.0,0.0,0.0,0,green
188,0.0,1.0,0.0,0.0,0.0,0,green
189,0.0,1.0,0.0,0.0,0.0,0,green
190,0.0,1.0,0.0,0.0,0.0,0,green
191,0.0,1.0,0.0,0.0,0.0,0,green
192,0.0,1.0,0.0,0.0,0.0,0,green
193,0.0,1.0,0.0,0.0,0.0,0,green
194,0.0,1.0,0.0,0.0,0.0,0,green
195,0.0,1.0,0.0,0.0,0.0,0,green
196,0.0,1.0,0.0,0.0,0.0,0,green
197,0.0,1.0,0.0,0.0,0.0,0,green
198,0.0,1.0,0.0,0.0,0.0,0,green
199,0.0,1.0,0.0,0.0,0.0,0,green
200,0.0,1.0,0.0,0.0,0.0,0,green
201,0.0,1.0,0.0,0.0,0.0,0,green
202,0.0,1.0,0.0,0.0,0.0,0,green
203,0.0,1.0,0.0,0.0,0.0,0,green
204,0.0,1.0,0.0,0.0,0.0,0,green
205,0.0,1.0,0.0,0.0,0.0,0,green
206,0.0,1.0,0.0,0.0,0.0,0,green
207,0.0,1.0,0.0,0.0,0.0,0,green
208,0.0,1.0,0.0,0.0,0.0,0,green
209,0.0,1.0,0.0,0.0,0.0,0,green
210,0.0,1.0,0.0,0.0,0.0,0,green
211,0.0,1.0,0.0,0.0,0.0,0,green
212,0.0,1.0,0.0,0.0,0.0,0,green
213,0.0,1.0,0.0,0.0,0.0,0,green
214,0.0,1.0,0.0,0.0,0.0,0,green
215,0.0,1.0,0.0,0.0,0.0,0,green
216,0.0,1.0,0.0,0.0,0.0,0,green
217,0.0,1.0,0.0,0.0,0.0,0,green
218,0.0,1.0,0.0,0.0,0.0,0,green
219,0.0,1.0,0.0,0.0,0.0,0,green
220,0.0,1.0,0.0,0.0,0.0,0,green
221,0.0,1.0,0.0,0.0,0.0,0,green
222,0.0,1.0,0.0,0.0,0.0,0,green
223,0.0,1.0,0.0,0.0,0.0,0,green
224,0.0,1.0,0.0,0.0,0.0,0,green
225,0.0,1.0,0.0,0.0,0.0,0,green
226,0.0,1.0,0.0,0.0,0.0,0,green
227,0.0,1.0,0.0,0.0,0.0,0,green
228,0.0,1.0,0.0,0.0,0.0,0,green
229,0.0,1.0,0.0,0.0,0.0,0,green
230,0.0,1.0,0.0,0.0,0.0,0,green
231,0.0,1.0,0.0,0.0,0.0,0,green
232,0.0,1.0,0.0,0.0,0.0,0,green
233,0.0,1.0,0.0,0.0,0.0,0,green
234,0.0,1.0,0.0,0.0,0.0,0,green
235,0.0,1.0,0.0,0.0,0.0,0,green
236,0.0,1.0,0.0,0.0,0.0,0,green
237,0.0,1.0,0.0,0.0,0.0,0,green
238,0.0,1.0,0.0,0.0,0.0,0,green
239,0.0,1.0,0.0,0.0,0.0,0,green
240,0.0,1.0,0.0,0.0,0.0,0,green
241,0.0,1.0,0.0,0.0,0.0,0,green
242,0.0,1.0,0.0,0.0,0.0,0,green
243,0.0,1.0,0.0,0.0,0.0,0,green
244,0.0,1.0,0.0,0.0,0.0,0,green
245,0.0,1.0,0.0,0.0,0.0,0,green
246,0.0,1.0,0.0,0.0,0.0,0,green
247,0.0,1.0,0.0,0.0,0.0,0,green
248,0.0,1.0,0.0,0.0,0.0,0,green
249,0.0,1.0,0.0,0.0,0.0,0,green
250,0.0,1.0,0.0,0.0,0.0,0,green
251,0.0,1.0,0.0,0.0,0.0,0,green
252,0.0,1.0,0.0,0.0,0.0,0,green
253,0.0,1.0,0.0,0.0,0.0,0,green
254,0.0,1.0,0.0,0.0,0.0,0,green
255,0.0,1.0,0.0,0.0,0.0,0,green
256,0.0,1.0,0.0,0.0,0.0,0,green
257,0.0,1.0,0.0,0.0,0.0,0,green
258,0.0,1.0,0.0,0.0,0.0,0,green
259,0.0,1.0,0.0,0.0,0.0,0,green
260,0.0,1.0,0.0,0.0,0.0,0,green
261,0.0,1.0,0.0,0.0,0.0,0,green
262,0.0,1.0,0.0,0.0,0.0,0,green
263,0.0,1.0,0.0,0.0,0.0,0,green
264,0.0,1.0,0.0,0.0,0.0,0,green
265,0.0,1.0,0.0,0.0,0.0,0,green
266,0.0,1.0,0.0,0.0,0.0,0,green
267,0.0,1.0,0.0,0.0,0.0,0,green
268,0.0,1.0,0.0,0.0,0.0,0,green
269,0.0,1.0,0.0,0.0,0.0,0,green
270,0.0,1.0,0.0,0.0,0.0,0,green
271,0.0,1.0,0.0,0.0,0.0,0,green
272,0.0,1.0,0.0,0.0,0.0,0,green
273,0.0,1.0,0.0,0.0,0.0,0,green
274,0.0,1.0,0.0,0.0,0.0,0,green
275,0.0,1.0,0.0,0.0,0.0,0,green
276,0.0,1.0,0.0,0.0,0.0,0,green
277,0.0,1.0,0.0,0.0,0.0,0,green
278,0.0,1.0,0.0,0.0,0.0,0,green
279,0.0,1.0,0.0,0.0,0.0,0,green
280,0.0,1.0,0.0,0.0,0.0,0,green
281,0.0,1.0,0.0,0.0,0.0,0,green
282,0.0,1.0,0.0,0.0,0.0,0,green
283,0.0,1.0,0.0,0.0,0.0,0,green
284,0.0,1.0,0.0,0.0,0.0,0,green
285,0.0,1.0,0.0,0.0,0.0,0,green
286,0.0,1.0,0.0,0.0,0.0,0,green
287,0.0,1.0,0.0,0.0,0.0,0,green
288,0.0,1.0,0.0,0.0,0.0,0,green
289,0.0,1.0,0.0,0.0,0.0,0,green
290,0.0,1.0,0.0,0.0,0.0,0,green
