time_index,mean,std,p05,p25,p50,p75,p95,actual
0,965.649,4.548645,958.9799,962.32153,965.77026,968.55774,972.669,974.5997115224653
1,965.75165,4.552217,959.0795,962.4199,965.8794,968.66266,972.7793,974.6390724568952
2,965.85565,4.5555906,959.1807,962.52014,965.9895,968.7688,972.89105,974.6779991335238
3,965.96094,4.558814,959.28345,962.622,966.10034,968.876,973.0042,974.7165080400766
4,966.0675,4.561894,959.38763,962.72546,966.21204,968.98413,973.1188,974.7546156642793
5,966.1752,4.5648975,959.4931,962.83014,966.3242,969.0934,973.2345,974.7923384938564
6,966.28394,4.56782,959.5997,962.9367,966.4369,969.2035,973.35156,974.8296930165335
7,966.3937,4.570702,959.7074,963.04724,966.5499,969.31445,973.46985,974.8666957200356
8,966.5043,4.5735784,959.816,963.1583,966.66327,969.4271,973.58923,974.9033630920887
9,966.6157,4.576489,959.92535,963.2682,966.7766,969.542,973.7097,974.939711620417
10,966.7279,4.579441,960.03546,963.3762,966.89,969.6577,973.8311,974.9757577927465
11,966.84064,4.582461,960.14624,963.48486,967.00323,969.7742,973.95355,975.0115180968023
12,966.95404,4.5856223,960.2574,963.594,967.11633,969.89136,974.0769,975.0470090203094
13,967.0679,4.5889235,960.36884,963.704,967.229,970.00916,974.2011,975.0822470509929
14,967.1821,4.592381,960.4807,963.8142,967.34125,970.12756,974.3261,975.1172486765788
15,967.29663,4.596069,960.5925,963.9251,967.4529,970.24646,974.4518,975.1520303847916
16,967.4114,4.5999856,960.70447,964.0364,967.5639,970.3659,974.57825,975.1866086633571
17,967.52625,4.6041703,960.8162,964.14813,967.674,970.4858,974.7053,975.2210000000001
18,967.64124,4.608649,960.92773,964.26013,967.7833,970.60254,974.83295,975.2552148952259
19,967.7581,4.6135464,961.0407,964.37445,967.89307,970.7147,974.9632,975.2892399006599
20,967.88306,4.619043,961.16125,964.4971,968.00806,970.83374,975.1033,975.3230555807072
21,968.01984,4.62535,961.29315,964.63135,968.13116,970.9632,975.2578,975.3566424997728
22,968.1678,4.6324086,961.4356,964.7767,968.26196,971.1024,975.4259,975.389981222262
23,968.32623,4.6402164,961.58795,964.9325,968.3998,971.2508,975.60675,975.42305231258
24,968.49445,4.648786,961.74963,965.0979,968.5443,971.41174,975.79956,975.4558363351321
25,968.67163,4.6581025,961.91974,965.27234,968.69495,971.58435,976.0034,975.4883138543231
