模型,第1层参数,第2层参数,Dense层参数,总参数量,参数占比,估算训练时间
LSTM,"LSTM(25): 3,000","LSTM(15): 2,460",256,"5,716",100%,约1.5分钟
GRU,GRU(15): 765,"GRU(15): 1,395",256,"2,416",42.3%,约0.6分钟
