time_index,mean,std,p05,p25,p50,p75,p95,actual
74,264.8287,0.6866529,263.65887,264.43906,264.83173,265.09845,266.07968,260.69721
75,264.77896,0.6901402,263.6018,264.3653,264.77213,265.04456,266.0302,260.53881
76,264.72745,0.6940864,263.54272,264.29504,264.71396,264.98483,265.98123,260.38052
77,264.6745,0.698472,263.482,264.22864,264.66962,264.92896,265.9309,260.22318
78,264.62048,0.7032828,263.42004,264.161,264.61578,264.87283,265.87964,260.06761
79,264.56573,0.70848566,263.35727,264.09668,264.55893,264.82428,265.82773,259.91462
80,264.51062,0.71405137,263.29404,264.03635,264.50446,264.77972,265.77548,259.76504
81,264.45547,0.7199407,263.23077,263.9723,264.45908,264.7423,265.72327,259.61968
82,264.40063,0.7261033,263.16788,263.90826,264.4139,264.70508,265.68625,259.47938
83,264.34644,0.732491,263.10574,263.84497,264.36926,264.67047,265.64996,259.34495
84,264.29327,0.739055,263.04474,263.78284,264.32068,264.64038,265.61438,259.21722
85,264.2415,0.7457238,262.9853,263.72876,264.26956,264.58798,265.5797,259.097
86,264.19138,0.7524499,262.92776,263.67236,264.22192,264.55176,265.54626,258.97736
87,264.1432,0.75917137,262.87244,263.62323,264.18137,264.51788,265.51413,258.85128
88,264.0969,0.7658776,262.81793,263.57318,264.14404,264.48795,265.4834,258.71946
89,264.05215,0.77257514,262.76443,263.52264,264.1026,264.4593,265.45377,258.58261
90,264.00858,0.77930486,262.71222,263.4735,264.06226,264.43155,265.425,258.44143
91,263.96545,0.7861463,262.66046,263.42505,264.0204,264.40417,265.39664,258.29662
92,263.92212,0.79319286,262.6084,263.3764,263.97076,264.3767,265.36365,258.14889
93,263.87762,0.80059403,262.55502,263.32648,263.91638,264.34857,265.32346,257.99895
94,263.83173,0.80839914,262.49994,263.27484,263.84888,264.31738,265.28223,257.84749
95,263.7846,0.8166011,262.44345,263.22177,263.79962,264.2669,265.2425,257.69522
96,263.73654,0.8251708,262.38583,263.16754,263.7528,264.22174,265.20184,257.54284
97,263.68774,0.83406913,262.32736,263.1124,263.70123,264.18106,265.16055,257.39106
98,263.6385,0.8432786,262.2552,263.0566,263.64435,264.14,265.11887,257.24059
99,263.58896,0.8527416,262.18066,263.0005,263.58832,264.103,265.0769,257.09212
100,263.53943,0.86242324,262.11026,262.9442,263.53607,264.06827,265.03015,256.94636
101,263.49014,0.87228334,262.0401,262.88812,263.48407,264.03378,264.9832,256.80401
102,263.4413,0.88226944,261.9705,262.83246,263.43744,263.99973,264.93927,256.66578
103,263.39322,0.8923322,261.90182,262.77686,263.39288,263.96622,264.90628,256.53237
104,263.34607,0.9024104,261.8344,262.72128,263.34918,263.93347,264.874,256.40448
105,263.30005,0.9124508,261.76697,262.667,263.30664,263.90167,264.84256,256.28283
106,263.25546,0.92240155,261.70966,262.6142,263.26538,263.87094,264.81213,256.1681
107,263.21255,0.9321952,261.6608,262.56323,263.22574,263.8415,264.78296,256.06102
108,263.1715,0.94177645,261.61398,262.51434,263.1833,263.8142,264.75516,255.96226999999996
109,263.1326,0.95107746,261.56955,262.4678,263.14075,263.78873,264.7289,255.87257
110,263.09604,0.9600337,261.5277,262.42386,263.1007,263.76498,264.70435,255.79261
111,263.06204,0.9685845,261.4888,262.37518,263.06354,263.74316,264.6817,255.72311
112,263.0309,0.97666085,261.453,262.31915,263.0308,263.7234,264.6611,255.66476
113,263.0028,0.9842049,261.42062,262.2681,263.00122,263.7059,264.64273,255.61827
114,262.978,0.99115056,261.39188,262.22473,262.97504,263.6908,264.62674,255.58434
115,262.95673,0.9974342,261.36707,262.19885,262.95258,263.67828,264.61337,255.56369
116,262.9392,1.0029876,261.34644,262.17706,262.93402,263.6685,264.60272,255.557
117,262.9257,1.0077572,261.33026,262.15964,262.91962,263.66162,264.59497,255.55878
118,262.91626,1.0116998,261.31863,262.1468,262.9101,263.65775,264.59027,255.56296
119,262.91092,1.0148228,261.31158,262.13837,262.9049,263.6568,264.5885,255.56942
120,262.90936,1.017168,261.30878,262.13412,262.90344,263.65863,264.5896,255.57803000000004
121,262.91113,1.0188293,261.30972,262.13358,262.9052,263.66284,264.5932,255.58865
122,262.91568,1.0199164,261.31384,262.13605,262.90967,263.66898,264.5989,255.60116
123,262.92224,1.0205774,261.3202,262.14072,262.91608,263.67654,264.60617,255.61544
124,262.92996,1.0209982,261.32794,262.14667,262.92358,263.68494,264.61435,255.63134
125,262.9384,1.0212861,261.33643,262.15332,262.9317,263.6938,264.6231,255.64875
126,262.94748,1.0214422,261.34497,262.16064,262.9408,263.7035,264.6324,255.66754
127,262.95718,1.021476,261.3542,262.16864,262.9508,263.71362,264.64218,255.68757
128,262.9675,1.0213957,261.36414,262.17722,262.9615,263.72412,264.65247,255.70872
129,262.9784,1.0212106,261.37476,262.1864,262.97272,263.735,264.66318,255.73085
130,262.98978,1.0209184,261.38602,262.19614,262.98453,263.74622,264.67432,255.75385
131,263.00168,1.0205427,261.39786,262.2064,262.99683,263.75775,264.68585,255.77757
132,263.01404,1.0200707,261.41028,262.21716,263.00958,263.76962,264.6977,255.8019
133,263.02682,1.0195287,261.42322,262.22836,263.02283,263.7818,264.70987,255.82671
134,263.03998,1.0189097,261.43665,262.24002,263.03647,263.79425,264.72232,255.85185
135,263.05353,1.0182295,261.45053,262.25208,263.05048,263.80692,264.73505,255.87722
136,263.06735,1.017493,261.4648,262.26447,263.0648,263.81985,264.748,255.90267
137,263.08148,1.0167078,261.4795,262.27722,263.0794,263.833,264.7611,255.92808000000002
138,263.0959,1.0158731,261.4945,262.29413,263.0943,263.8463,264.77435,255.95332
139,263.11047,1.0150031,261.5098,262.3122,263.10938,263.85986,264.78778,255.97826
140,263.1253,1.014104,261.5254,262.33032,263.1247,263.87357,264.80127,256.00277
141,263.14023,1.013181,261.5412,262.34857,263.14008,263.8874,264.81482,256.02673
142,263.1553,1.0122454,261.5572,262.3667,263.15564,263.9014,264.8284,256.05
143,263.17044,1.0112945,261.57333,262.38477,263.17126,263.9155,264.84198,256.07246
