time_index,mean,std,p05,p25,p50,p75,p95,actual
0,694.8775,1.7299378,692.23517,693.8296,694.8287,695.81323,697.63586,674.1392824027828
1,695.02423,1.7262888,692.38165,693.9475,694.97565,695.93726,697.7782,674.3357946002761
2,695.1697,1.7227516,692.52716,694.0647,695.121,696.06055,697.9191,674.5325519930916
3,695.31396,1.7193172,692.6718,694.19495,695.26514,696.1868,698.05865,674.7296363130034
4,695.4571,1.7159522,692.81555,694.36005,695.4177,696.3146,698.19684,674.9271292917855
5,695.5991,1.7126498,692.95844,694.5237,695.56354,696.44147,698.33374,675.1251126612119
6,695.74,1.7094306,693.1004,694.6859,695.7024,696.5676,698.46936,675.3236681530568
7,695.87976,1.7062252,693.2376,694.8061,695.8402,696.6931,698.61847,675.5228774990943
8,696.0185,1.7030461,693.3593,694.93646,695.9806,696.8178,698.7677,675.7228224310983
9,696.1562,1.6998875,693.4807,695.065,696.12744,696.9419,698.91547,675.923584680843
10,696.2929,1.6967214,693.6019,695.1863,696.2733,697.0653,699.0616,676.1252459801024
11,696.4286,1.6935275,693.7412,695.3203,696.41656,697.1881,699.2062,676.3278880606506
12,696.5633,1.6903126,693.88196,695.4503,696.54425,697.3103,699.3493,676.5315926542615
13,696.697,1.6870546,694.02216,695.575,696.67126,697.432,699.4909,676.7364414927096
14,696.8299,1.6837527,694.1616,695.6992,696.7975,697.55536,699.6311,676.9425163077685
15,696.96185,1.6803759,694.3007,695.82263,696.923,697.6826,699.7698,677.1498988312125
16,697.09296,1.6769189,694.4392,695.94543,697.0479,697.8093,699.90704,677.3586707948156
17,697.2232,1.6733859,694.57715,696.0677,697.1721,697.93536,700.04297,677.5689139303518
18,697.3527,1.6697338,694.7147,696.1894,697.2958,698.06085,700.17737,677.7807099695951
19,697.4814,1.6659901,694.85187,696.31055,697.41895,698.1857,700.31055,677.9941406443199
20,697.6093,1.6620995,694.98584,696.4311,697.54144,698.31006,700.44226,678.2092876863001
21,697.7365,1.6580898,695.118,696.5512,697.66486,698.43396,700.5727,678.4262328273096
22,697.863,1.6539391,695.2499,696.6709,697.79785,698.5572,700.7018,678.6450577991227
23,697.9888,1.6496358,695.39575,696.7901,697.92993,698.6802,700.82965,678.8658443335132
24,698.1139,1.6451601,695.54584,696.90894,698.06323,698.8025,700.95624,679.0886741622555
25,698.23834,1.6405146,695.6955,697.02734,698.20264,698.92456,701.0815,679.3136290171234
26,698.36224,1.6356964,695.84467,697.14355,698.34094,699.0382,701.20557,679.540790629891
27,698.4856,1.6306882,695.9935,697.2588,698.4784,699.1472,701.3284,679.7702407323326
28,698.60834,1.6254808,696.14197,697.374,698.6131,699.25586,701.45013,680.0020610562219
29,698.73065,1.6200713,696.2901,697.49347,698.7444,699.3656,701.5706,680.2363333333333
30,698.85236,1.6144537,696.438,697.61597,698.8745,699.4807,701.69006,680.4730575636665
31,698.9735,1.6085823,696.5853,697.73804,699.00336,699.5949,701.80804,680.7119068201256
32,699.0934,1.6024013,696.73175,697.8592,699.1297,699.7075,701.92395,680.9524724438398
33,699.2117,1.5958657,696.8766,697.9791,699.2536,699.818,702.03723,681.1943457759392
34,699.3283,1.5890238,697.01996,698.0976,699.37494,699.9299,702.1479,681.4371181575533
35,699.4432,1.5818686,697.1616,698.2147,699.4938,700.0399,702.2559,681.6803809298119
36,699.5564,1.5744562,697.30164,698.33044,699.6102,700.1474,702.3615,681.9237254338444
37,699.6679,1.5667925,697.4398,698.4446,699.7241,700.25256,702.4646,682.1667430107806
38,699.7775,1.5589305,697.5761,698.5572,699.8356,700.3553,702.5652,682.4090250017504
39,699.8854,1.5508614,697.7105,698.6682,699.9447,700.4558,702.6632,682.6501627478831
40,699.9914,1.5426548,697.8429,698.7776,700.0513,700.55383,702.7589,682.8897475903087
41,700.09546,1.5343213,697.9732,698.8852,700.1556,700.65186,702.85223,683.1273708701567
42,700.19763,1.525901,698.1014,698.991,700.2573,700.74866,702.9432,683.3626239285568
43,700.2979,1.5174199,698.22736,699.0951,700.3568,700.84326,703.03174,683.5950981066387
44,700.3961,1.5088847,698.3511,699.19727,700.4539,700.9354,703.118,683.824384745532
45,700.4924,1.5003686,698.47235,699.3033,700.54407,701.02527,703.202,684.0500751863666
