run_id,seed,train_r2,train_rmse,test_r2,test_rmse,train_loss,val_loss
1,42,0.9855911238794686,12.548174082708709,0.19389552542330024,13.139082018779703,0.015719864517450333,0.00845057237893343
2,84,0.9835262466928015,13.417195887745683,-0.9219737289245311,20.288179622704398,0.014003911055624485,0.010000613518059254
3,126,0.98763363297689,11.624828305667004,0.7329806619953789,7.562070382573566,0.014011607505381107,0.006342648062855005
4,168,0.985490466823072,12.591927115989598,0.4241462961784612,11.105175850265391,0.012410908937454224,0.005783212371170521
5,210,0.9864893860906847,12.150748254513923,0.30876297635337324,12.166981662166277,0.015104802325367928,0.008008480072021484
6,252,0.982450613169388,13.848299731649124,0.8005475337624668,6.535654160779087,0.015214106999337673,0.006871358957141638
7,294,0.9840136420546629,13.217223922869183,-0.12894790264914846,15.549137652337082,0.013844434171915054,0.007737735752016306
8,336,0.9886182902572268,11.15242302344521,0.06739990020924791,14.132437924090755,0.013973877765238285,0.007450882811099291
9,378,0.9840342795695266,13.208689810660147,-0.16065619341130222,15.765986644272244,0.015594854950904846,0.008654635399580002
10,420,0.9819191447685791,14.056427786129975,0.6072295475491034,9.171466038527239,0.012161827646195889,0.005554297007620335
11,462,0.9869425365721177,11.945240288763062,0.24187890077463148,12.742030771316845,0.01389087364077568,0.007261245045810938
12,504,0.9792254527982335,15.067155301851592,0.24941762255932876,12.678519400607847,0.01460140198469162,0.006534775253385305
13,546,0.9845707024605214,12.984898475098358,0.202007184380101,13.0728069665587,0.014502281323075294,0.00753052206709981
14,588,0.9809497813273944,14.428309970913404,-1.3239660659694557,22.309212942826132,0.014695245772600174,0.010067902505397797
15,630,0.9812142619678442,14.327803351829122,0.05301851658867007,14.240987371955587,0.01521877758204937,0.007538027595728636
16,672,0.9814172476984413,14.250184928254711,0.406005730655695,11.278737401576,0.013961234129965305,0.006204554811120033
17,714,0.9843773754709304,13.065994736312245,0.12293089475628549,13.705227984332797,0.01687433384358883,0.009481512010097504
18,756,0.9843906725173389,13.060433054825943,0.3018783630468098,12.227422163570173,0.01393208373337984,0.007053860463202
19,798,0.9896724436872785,10.62341793073768,0.6349536734109273,8.841854195631484,0.014054395258426666,0.006284085568040609
20,840,0.9870105907553973,11.914070928624634,0.2610784322181642,12.579649166039246,0.012912288308143616,0.005974862724542618
21,882,0.9849968876009862,12.804309488167954,0.5573238963064286,9.736713632353235,0.015327129513025284,0.007414134684950113
22,924,0.9822249670726011,13.937044550198099,-0.6103373701123271,18.570679440862314,0.015305224806070328,0.010036236606538296
23,966,0.9840941344827321,13.183907109331965,-0.6718251657263943,18.921901913840493,0.016071559861302376,0.009947155602276325
24,1008,0.9843128688772056,13.092942019373146,-0.35926809375914126,17.061684982370604,0.013659670948982239,0.008520293049514294
25,1050,0.9858090344329499,12.452927350544057,0.029792528685526398,14.414569122576307,0.015409168787300587,0.008521235547959805
26,1092,0.9855036922327473,12.58618704983117,-0.4773101295795703,17.787102001894596,0.014348220080137253,0.0086594820022583
27,1134,0.986975137899022,11.930318781678874,0.3284190827079132,11.992743121052643,0.0148084107786417,0.006865300703793764
28,1176,0.9813430397914749,14.278609748160289,-0.7335688619344416,19.268145029945842,0.015180028043687344,0.009082711301743984
29,1218,0.9837795813109697,13.313630863384002,0.24372888802433124,12.726474554323978,0.01642202027142048,0.008383513428270817
30,1260,0.9789304099024416,15.173770970555273,-0.8014610827368343,19.64182330801892,0.014313559047877789,0.0089211231097579
31,1302,0.9878623854310631,11.516808684967454,0.8717710297495158,5.240375831984233,0.014164893887937069,0.006380404811352491
32,1344,0.982235272588903,13.9330037907668,-0.7533655141615789,19.377849917465007,0.013430732302367687,0.008154109120368958
33,1386,0.9845244809213016,13.004333357774678,0.12390813572811876,13.69759059118935,0.01440974697470665,0.007167181931436062
34,1428,0.9857426534693434,12.482018848195874,0.521011054513411,10.128196135270334,0.014867966994643211,0.0068529341369867325
35,1470,0.9869101366470185,11.960051170895847,0.5276068955454802,10.058220045167552,0.014488284476101398,0.006443875841796398
36,1512,0.984591988391931,12.975938538626783,-0.2702137469809722,16.493307728951454,0.013658535666763783,0.008161786012351513
37,1554,0.9845763979473279,12.982501666563024,0.5245336272687766,10.090885102536987,0.01672459952533245,0.007932300679385662
38,1596,0.9827822419247106,13.716830813252418,0.3022026808206245,12.224581662150573,0.016364969313144684,0.009426229633390903
39,1638,0.9841733070128658,13.151054278247873,-0.2584565877533114,16.416798852099557,0.014091186225414276,0.008181881159543991
