time_index,mean,std,p05,p25,p50,p75,p95,actual
0,1231.3063,3.5870945,1225.0668,1229.0696,1231.4858,1233.9988,1237.2517,1239.908559267027
1,1231.4058,3.5896072,1225.168,1229.167,1231.5839,1234.1012,1237.3613,1240.100299513874
2,1231.5067,3.5920515,1225.2709,1229.2654,1231.6833,1234.2054,1237.4723,1240.290084429472
3,1231.609,3.5944142,1225.3754,1229.365,1231.7844,1234.311,1237.5842,1240.477601927919
4,1231.7125,3.5967224,1225.4811,1229.4658,1231.8865,1234.4177,1237.6969,1240.662539923313
5,1231.8168,3.5989668,1225.5879,1229.567,1231.9895,1234.5253,1237.81,1240.844586329752
6,1231.9218,3.6011717,1225.6954,1229.6687,1232.0933,1234.6335,1237.9238,1241.023429061332
7,1232.0272,3.6033585,1225.8035,1229.7708,1232.1975,1234.7421,1238.0376,1241.198756032152
8,1232.1329,3.6055164,1225.9117,1229.8727,1232.302,1234.8508,1238.1514,1241.370255156309
9,1232.2385,3.6076617,1226.0201,1229.9744,1232.4067,1234.9592,1238.2649,1241.537614347901
10,1232.3439,3.609803,1226.1282,1230.0757,1232.5112,1235.0674,1238.3779,1241.700521521026
11,1232.4487,3.6119788,1226.236,1230.1765,1232.6152,1235.1749,1238.4905,1241.85866458978
12,1232.553,3.614153,1226.3428,1230.2764,1232.7188,1235.2816,1238.602,1242.011731468262
13,1232.6561,3.616377,1226.4489,1230.3751,1232.8213,1235.3872,1238.7128,1242.159410070568
14,1232.7583,3.6186228,1226.5537,1230.4727,1232.9229,1235.491,1238.822,1242.301388310798
15,1232.8589,3.6209135,1226.6572,1230.5685,1233.0233,1235.5898,1238.93,1242.437354103048
16,1232.958,3.6232607,1226.7589,1230.6627,1233.1221,1235.6869,1239.0364,1242.566995361417
17,1233.0552,3.6256845,1226.8589,1230.7549,1233.2192,1235.7822,1239.1409,1242.69
18,1233.1503,3.6281815,1226.9564,1230.845,1233.3145,1235.8755,1239.2433,1242.806155001753
19,1233.2444,3.6307776,1227.0531,1230.9336,1233.4089,1235.9677,1239.3447,1242.915643625056
20,1233.3414,3.6335866,1227.153,1231.0247,1233.5067,1236.0625,1239.4495,1243.018748197144
