Date,Mean_Prediction,Std_Prediction,Min_Prediction,Max_Prediction,Q25_Prediction,Q75_Prediction
2016-07-05,667.2385827636718,2.070978839747655,662.4698486328125,671.8939819335938,665.8115234375,668.9034881591797
2016-07-06,667.446728515625,2.0614865254493995,662.7035522460938,672.0768432617188,666.0278625488281,669.1062774658203
2016-07-07,667.655224609375,2.0520108057192443,662.9376220703125,672.2601318359375,666.2445068359375,669.3077392578125
2016-07-08,667.864052734375,2.04254792523671,663.1719970703125,672.4437866210938,666.4615325927734,669.5081787109375
2016-07-09,668.0732238769531,2.0331005305543717,663.40673828125,672.6277465820312,666.6788635253906,669.708984375
2016-07-10,668.282744140625,2.023658660146053,663.641845703125,672.8121337890625,666.8965148925781,669.9101257324219
2016-07-11,668.4926037597656,2.014236233104408,663.877197265625,672.9968872070312,667.1145629882812,670.1116638183594
2016-07-12,668.7028039550781,2.004834678100751,664.1129760742188,673.1820068359375,667.3328704833984,670.3135375976562
2016-07-13,668.9133520507812,1.9954345603637922,664.3490600585938,673.3674926757812,667.5516052246094,670.5157775878906
2016-07-14,669.1242492675781,1.9860538902944016,664.58544921875,673.5533447265625,667.7706146240234,670.7183990478516
2016-07-15,669.33548828125,1.976686761648295,664.822265625,673.7395629882812,667.9899749755859,670.9213104248047
2016-07-16,669.5470751953125,1.9673344494580876,665.059326171875,673.9262084960938,668.2097015380859,671.1246795654297
2016-07-17,669.7590100097656,1.9579996495429828,665.2967529296875,674.1131591796875,668.4297332763672,671.3283233642578
2016-07-18,669.9713000488281,1.948672134088246,665.5345458984375,674.300537109375,668.650146484375,671.5323944091797
2016-07-19,670.1839331054688,1.9393635731223666,665.7726440429688,674.4882202148438,668.8708038330078,671.7367858886719
2016-07-20,670.3969274902344,1.930073693378384,666.0111083984375,674.6763305664062,669.0919342041016,671.9416351318359
2016-07-21,670.610263671875,1.920796500738044,666.2499389648438,674.8648681640625,669.3133544921875,672.146728515625
2016-07-22,670.8239599609375,1.9115271441409554,666.4890747070312,675.0537109375,669.5351104736328,672.3522796630859
2016-07-23,671.0380114746093,1.9022750805846442,666.7285766601562,675.242919921875,669.7572479248047,672.5581512451172
2016-07-24,671.2524108886719,1.8930444981047667,666.9684448242188,675.4325561523438,669.979736328125,672.7644653320312
2016-07-25,671.46716796875,1.8838298702034393,667.2086791992188,675.6226196289062,670.2024993896484,672.9710845947266
2016-07-26,671.68228515625,1.8746289542223054,667.4491577148438,675.81298828125,670.4256744384766,673.1780700683594
2016-07-27,671.8977624511718,1.865442690364307,667.6900634765625,676.0037841796875,670.6492156982422,673.3854522705078
2016-07-28,672.1135986328125,1.8562716864095816,667.9313354492188,676.1949462890625,670.8730773925781,673.5932006835938
2016-07-29,672.3297875976563,1.8471295393015055,668.1729125976562,676.3865356445312,671.0972595214844,673.8013610839844
2016-07-30,672.5463415527344,1.8379931626900996,668.4148559570312,676.5784912109375,671.3218536376953,674.0098571777344
2016-07-31,672.7632556152344,1.828874462985777,668.6571044921875,676.7708129882812,671.5467681884766,674.2187652587891
2016-08-01,672.9805285644532,1.819778415841744,668.8997802734375,676.9635620117188,671.7720489501953,674.4280395507812
2016-08-02,673.1981628417968,1.8106932638003053,669.1427612304688,677.1566162109375,671.9976806640625,674.6376800537109
2016-08-03,673.416162109375,1.8016284769408575,669.3861083984375,677.3501586914062,672.2236480712891,674.8477020263672
2016-08-04,673.6345324707031,1.7925795060003418,669.6298217773438,677.5440673828125,672.4500274658203,675.0581512451172
2016-08-05,673.8532507324219,1.78354553177061,669.8739013671875,677.73828125,672.6767272949219,675.2689056396484
2016-08-06,674.0723474121094,1.7745359010155084,670.1183471679688,677.9329833984375,672.9020538330078,675.4800720214844
2016-08-07,674.2918078613282,1.7655440080137448,670.3630981445312,678.1280517578125,673.1255645751953,675.6916198730469
2016-08-08,674.5116271972656,1.756576858785707,670.6082153320312,678.3235473632812,673.3494720458984,675.903564453125
2016-08-09,674.7318310546875,1.747624111556052,670.8536987304688,678.5194702148438,673.5737609863281,676.1152954101562
2016-08-10,674.9523950195312,1.7386851963421779,671.0995483398438,678.7156982421875,673.7984619140625,676.3255615234375
2016-08-11,675.1733264160156,1.7297744488682143,671.345703125,678.912353515625,674.0234222412109,676.5361938476562
2016-08-12,675.394619140625,1.72087774372506,671.59228515625,679.1094360351562,674.2488403320312,676.7471771240234
2016-08-13,675.6162878417969,1.7120055895082937,671.8391723632812,679.306884765625,674.4745635986328,676.9585266113281
2016-08-14,675.838330078125,1.7031480134199446,672.0864868164062,679.5047607421875,674.7006683349609,677.1702423095703
2016-08-15,676.0607434082032,1.6943116182676208,672.3341064453125,679.7030029296875,674.9271850585938,677.3823089599609
2016-08-16,676.2835241699219,1.6854977149987795,672.5820922851562,679.9016723632812,675.154052734375,677.5947875976562
2016-08-17,676.5066796875,1.676712532423687,672.8304443359375,680.1007690429688,675.3813018798828,677.8075714111328
2016-08-18,676.73021484375,1.6679420085426655,673.0791625976562,680.3002319335938,675.6089019775391,678.0196380615234
2016-08-19,676.9541064453125,1.6591897834811302,673.3282470703125,680.5000610351562,675.8368835449219,678.2281188964844
2016-08-20,677.1783813476562,1.6504666743810579,673.5776977539062,680.7003784179688,676.0652160644531,678.43701171875
