time_index,mean,std,p05,p25,p50,p75,p95,actual
0,695.3218,1.1352478,693.6781,694.5869,695.0944,696.14496,697.3499,674.1392824027828
1,695.47144,1.1317763,693.8048,694.755,695.2394,696.2874,697.50446,674.3357946002761
2,695.61975,1.1286235,693.9371,694.9298,695.38306,696.4286,697.66,674.5325519930916
3,695.7667,1.1257988,694.08624,695.072,695.51483,696.5686,697.8142,674.7296363130034
4,695.9125,1.1232401,694.23413,695.25354,695.6486,696.7073,697.9666,674.9271292917855
5,696.057,1.1209451,694.3787,695.39954,695.7975,696.83386,698.1015,675.1251126612119
6,696.2003,1.1188841,694.51526,695.5466,695.9618,696.9551,698.2263,675.3236681530568
7,696.3424,1.1170447,694.6347,695.7025,696.1243,697.0881,698.35004,675.5228774990943
8,696.48334,1.1153747,694.7519,695.8574,696.28503,697.2235,698.47266,675.7228224310983
9,696.6231,1.113861,694.8682,696.0113,696.44403,697.3833,698.5941,675.923584680843
10,696.7618,1.1125016,694.98444,696.16425,696.60126,697.5414,698.7146,676.1252459801024
11,696.89935,1.111254,695.1005,696.31616,696.7567,697.676,698.83405,676.3278880606506
12,697.03595,1.1100891,695.21655,696.4672,696.9084,697.80554,698.95245,676.5315926542615
13,697.1714,1.1090022,695.3326,696.6173,697.0554,697.93835,699.0707,676.7364414927096
14,697.30585,1.1079615,695.4486,696.76404,697.20966,698.07117,699.18805,676.9425163077685
15,697.4393,1.106934,695.5647,696.903,697.34485,698.20306,699.3044,677.1498988312125
16,697.5717,1.1059326,695.6808,697.0413,697.4874,698.33374,699.4316,677.3586707948156
17,697.7033,1.1049095,695.80896,697.1697,697.6263,698.46344,699.5623,677.5689139303518
18,697.8339,1.1038553,695.93823,697.2905,697.7538,698.5921,699.6884,677.7807099695951
19,697.9636,1.1027544,696.067,697.4094,697.88074,698.7198,699.8012,677.9941406443199
20,698.0924,1.1015775,696.1954,697.52344,698.00696,698.8392,699.91266,678.2092876863001
21,698.2204,1.1003222,696.32324,697.6373,698.1326,698.95135,700.02295,678.4262328273096
22,698.3476,1.0989554,696.4508,697.751,698.2577,699.0632,700.1321,678.6450577991227
23,698.474,1.0974989,696.578,697.8644,698.3906,699.1749,700.24005,678.8658443335132
24,698.5996,1.095888,696.70496,697.9776,698.5318,699.2865,700.3468,679.0886741622555
25,698.7244,1.0941427,696.83154,698.0907,698.6721,699.3978,700.4526,679.3136290171234
26,698.8486,1.092242,696.95795,698.2036,698.8115,699.50903,700.5576,679.540790629891
27,698.97205,1.0901747,697.0841,698.3165,698.95013,699.6202,700.66156,679.7702407323326
28,699.09485,1.087921,697.2101,698.4293,699.0879,699.73724,700.76434,680.0020610562219
29,699.217,1.0854688,697.3359,698.5421,699.20996,699.85583,700.8661,680.2363333333333
30,699.3385,1.0828265,697.4616,698.65485,699.33026,699.9822,700.96686,680.4730575636665
31,699.4592,1.0799379,697.58704,698.7675,699.4497,700.1248,701.06635,680.7119068201256
32,699.5786,1.0767307,697.71173,698.8791,699.5676,700.27,701.16394,680.9524724438398
33,699.69617,1.0731454,697.8354,698.98834,699.68365,700.4121,701.2591,681.1943457759392
34,699.8119,1.0691999,697.9579,699.09644,699.796,700.52405,701.3541,681.4371181575533
35,699.9258,1.064927,698.07916,699.20337,699.90283,700.6366,701.4558,681.6803809298119
36,700.0377,1.0603697,698.1991,699.309,700.0072,700.74695,701.55505,681.9237254338444
37,700.1479,1.0555536,698.3177,699.4134,700.1157,700.8551,701.6535,682.1667430107806
38,700.2561,1.0504745,698.43494,699.5164,700.2282,700.9612,701.7499,682.4090250017504
39,700.36237,1.045217,698.55054,699.618,700.33826,701.06506,701.8439,682.6501627478831
40,700.4666,1.0397671,698.6646,699.71814,700.4458,701.16797,701.9355,682.8897475903087
41,700.569,1.0341973,698.777,699.8246,700.5416,701.2739,702.0249,683.1273708701567
42,700.6693,1.028503,698.8877,699.93054,700.6378,701.37744,702.11206,683.3626239285568
43,700.76764,1.0227453,698.9966,700.03467,700.74274,701.47864,702.199,683.5950981066387
44,700.8639,1.0169406,699.1036,700.1369,700.8457,701.57745,702.2866,683.824384745532
45,700.95807,1.0111158,699.2087,700.2373,700.94666,701.6738,702.3723,684.0500751863666
46,701.0502,1.0053236,699.3117,700.3341,701.0455,701.76794,702.45593,684.271760770272
47,701.14014,0.9995791,699.41266,700.4193,701.1422,701.8596,702.5375,684.4890328383776
48,701.22797,0.9938909,699.5115,700.5025,701.23083,701.9493,702.62085,684.7014827318137
49,701.31366,0.9883307,699.6081,700.58374,701.3142,702.03784,702.7055,684.9087017917095
50,701.3972,0.982887,699.7024,700.6629,701.3955,702.1239,702.78796,685.1102813591949
51,701.4785,0.9776197,699.7939,700.74,701.47473,702.2077,702.86835,685.3058127753994
52,701.5577,0.9725212,699.883,700.8209,701.55164,702.2892,702.94666,685.4948873814528
53,701.63446,0.96764696,699.9753,700.9024,701.6264,702.3683,703.02277,685.6770965184846
54,701.70905,0.9629856,700.06555,700.98145,701.69904,702.445,703.0966,685.8520315276248
55,701.7813,0.95858556,700.1527,701.05804,701.7694,702.5194,703.16833,686.0192837500028
56,701.8513,0.9544528,700.2368,701.1322,701.8375,702.59143,703.23785,686.1784445267484
57,701.919,0.9506072,700.3177,701.2037,701.90344,702.6612,703.3051,686.3291051989913
58,701.9843,0.9470818,700.3953,701.2701,701.9671,702.72864,703.37024,686.4708571078611
59,702.0472,0.9438713,700.4694,701.33215,702.0292,702.7937,703.4329,686.6032915944874
60,702.1077,0.9410197,700.54004,701.39185,702.0918,702.8565,703.4934,686.726
61,702.16583,0.93853873,700.60693,701.4489,702.1517,702.91693,703.55164,686.8387126775118
62,702.2199,0.9363482,700.6692,701.50165,702.2074,702.9737,703.60565,686.9417160280692
63,702.265,0.9343213,700.72327,701.5439,702.2544,703.02203,703.6498,687.0354354647013
64,702.2979,0.93233097,700.7674,701.572,702.2899,703.05945,703.6807,687.1202964004384
65,702.3193,0.9304323,700.802,701.58673,702.31433,703.0837,703.69885,687.1967242483091
66,702.32983,0.9286641,700.8275,701.58875,702.3284,703.09326,703.7052,687.2651444213436
67,702.3301,0.9270688,700.8446,701.57886,702.33276,703.0824,703.7002,687.325982332571
68,702.3207,0.9256926,700.8536,701.55774,702.3279,703.0614,703.69543,687.3796633950211
69,702.30237,0.9245876,700.8547,701.5409,702.3144,703.0342,703.70044,687.4266130217234
70,702.2756,0.9238001,700.8463,701.531,702.29285,703.01807,703.69946,687.4672566257074
71,702.241,0.92339283,700.816,701.51447,702.253,702.9949,703.6927,687.5020196200023
72,702.1993,0.9233891,700.77826,701.4918,702.20264,702.9459,703.6805,687.5313274176382
73,702.1511,0.92384154,700.73254,701.46356,702.1454,702.8778,703.6633,687.5556054316442
74,702.09705,0.9247814,700.6808,701.4303,702.0817,702.7926,703.62134,687.57527907505
75,702.0377,0.9262362,700.6236,701.3789,702.01245,702.7149,703.5636,687.590773760885
76,701.97375,0.9282347,700.56146,701.32104,701.93823,702.63324,703.50146,687.6025149021789
77,701.9057,0.9307657,700.4953,701.2595,701.8596,702.56964,703.43555,687.610927911961
78,701.83435,0.9338692,700.4254,701.18506,701.77734,702.4681,703.3664,687.6164382032609
79,701.76025,0.93751657,700.34735,701.1053,701.69226,702.3783,703.2947,687.6194711891083
80,701.68396,0.9417048,700.2585,701.02344,701.5999,702.3163,703.22095,687.6204522825326
81,701.60626,0.9464003,700.16797,700.9402,701.5011,702.26526,703.1459,687.6198068965633
82,701.5276,0.9515891,700.07654,700.8561,701.4014,702.21326,703.07007,687.6179604442299
83,701.44867,0.95722425,699.9848,700.77014,701.30145,702.1609,702.99396,687.6153383385621
84,701.37006,0.96324384,699.8942,700.67737,701.202,702.08563,702.91833,687.6123659925892
85,701.2925,0.96960783,699.815,700.586,701.11084,702.0233,702.8437,687.6094688193408
86,701.2165,0.9762638,699.7372,700.4963,701.031,701.9606,702.7707,687.6070722318465
87,701.14264,0.9831363,699.66156,700.43634,700.9542,701.8805,702.6999,687.6056016431356
88,701.0717,0.9901392,699.58875,700.39294,700.89417,701.80334,702.63184,687.6054824662381
89,701.00415,0.9972158,699.5195,700.33453,700.8391,701.72986,702.5672,687.6071401141829
90,700.9406,1.0042747,699.4543,700.2749,700.77734,701.6606,702.5066,687.6109999999999
91,700.8818,1.0112325,699.39386,700.2133,700.72736,701.5961,702.4578,687.6173986501444
92,700.8269,1.0181414,699.3375,700.1557,700.68787,701.5358,702.4162,687.6263170447745
93,700.77185,1.0253153,699.2813,700.0978,700.64966,701.4775,702.3746,687.637647277474
94,700.7141,1.0330528,699.22266,700.0368,700.6064,701.4229,702.3309,687.651281441827
95,700.65393,1.0413083,699.1504,699.97314,700.5582,701.36597,702.2854,687.6671116314171
96,700.59174,1.0500841,699.0747,699.9072,700.5094,701.3071,702.23834,687.6850299398288
97,700.5279,1.059376,698.99664,699.8394,700.4581,701.2427,702.19006,687.7049284606456
98,700.4628,1.0691365,698.91516,699.7677,700.39166,701.1661,702.13995,687.7266992874515
99,700.3968,1.0793587,698.83246,699.6933,700.3154,701.0885,702.08356,687.7502345138303
100,700.33026,1.0899816,698.7491,699.61816,700.23816,701.01025,702.0269,687.7754262333664
101,700.2636,1.1009779,698.6654,699.5453,700.16046,700.9319,701.97003,687.802166539643
102,700.1971,1.1122953,698.582,699.4815,700.10144,700.85376,701.91345,687.8303475262446
103,700.13116,1.1238838,698.4991,699.4182,700.0614,700.7763,701.8575,687.8598612867548
104,700.0662,1.1356916,698.41736,699.3559,700.0092,700.7127,701.80237,687.8905999147576
105,700.00256,1.1476413,698.337,699.293,699.9349,700.6558,701.7486,687.9224555038372
106,699.9406,1.1596746,698.2599,699.2299,699.8623,700.6005,701.6963,687.9553201475771
107,699.8808,1.1717279,698.1961,699.1681,699.80237,700.547,701.6459,687.9890859395614
108,699.82336,1.1837192,698.1349,699.0948,699.74744,700.49915,701.60077,688.0236449733741
109,699.7687,1.1955705,698.07666,699.01184,699.6952,700.458,701.55853,688.058889342599
110,699.71716,1.2072241,698.0217,698.93304,699.64606,700.4196,701.51904,688.0947111408201
