time_index,mean,std,p05,p25,p50,p75,p95,actual
0,965.71326,3.6656742,960.3959,963.0224,965.3579,968.7662,970.8596,974.5997115224653
1,965.8139,3.6665978,960.5105,963.11816,965.4552,968.86115,970.965,974.6390724568952
2,965.9161,3.6672313,960.61115,963.21594,965.554,968.9579,971.0718,974.6779991335238
3,966.0196,3.6676395,960.71387,963.3153,965.6542,969.05634,971.1797,974.7165080400766
4,966.12445,3.6678092,960.81866,963.41644,965.75574,969.1565,971.28876,974.7546156642793
5,966.23065,3.6678052,960.92535,963.5191,965.85846,969.25824,971.3989,974.7923384938564
6,966.3379,3.6676667,961.0337,963.62317,965.9623,969.3616,971.5102,974.8296930165335
7,966.4462,3.6673937,961.1438,963.72864,966.067,969.4663,971.62256,974.8666957200356
8,966.5556,3.6670332,961.2553,963.83545,966.1727,969.57263,971.7357,974.9033630920887
9,966.66595,3.6666365,961.3682,963.94336,966.2792,969.68024,971.85,974.939711620417
10,966.77704,3.6662023,961.4824,964.05237,966.3863,969.78156,971.9651,974.9757577927465
11,966.88885,3.665785,961.5977,964.16223,966.494,969.87964,972.081,975.0115180968023
12,967.00134,3.6654198,961.71405,964.2732,966.6022,969.9783,972.19775,975.0470090203094
13,967.11444,3.665137,961.8313,964.38477,966.7107,970.0774,972.3153,975.0822470509929
14,967.228,3.6649363,961.9493,964.49713,966.81946,970.17676,972.43353,975.1172486765788
15,967.34204,3.664916,962.06793,964.6101,966.92834,970.2764,972.5524,975.1520303847916
16,967.4564,3.6650486,962.187,964.7246,967.0373,970.37616,972.672,975.1866086633571
17,967.5709,3.6654048,962.3066,964.84094,967.1461,970.47595,972.7922,975.2210000000001
18,967.6857,3.6660051,962.42633,964.95667,967.2549,970.57556,972.91284,975.2552148952259
19,967.80255,3.666829,962.5487,965.0736,967.36523,970.67676,973.0361,975.2892399006599
20,967.92773,3.667801,962.68066,965.1979,967.4912,970.7848,973.16846,975.3230555807072
21,968.0652,3.6688886,962.82697,965.33307,967.6349,970.903,973.31415,975.3566424997728
22,968.21423,3.6701455,962.9866,965.4833,967.79364,971.0308,973.47235,975.389981222262
23,968.37396,3.671567,963.1587,965.6459,967.969,971.16754,973.64233,975.42305231258
24,968.5438,3.6732142,963.3424,965.8193,968.15564,971.3137,973.82324,975.4558363351321
25,968.72296,3.6751003,963.53687,966.00256,968.3529,971.4887,974.01434,975.4883138543231
26,968.91077,3.6772816,963.7413,966.19495,968.56006,971.6721,974.2149,975.5204654345584
27,969.1063,3.679751,963.9546,966.3958,968.7761,971.8634,974.4241,975.5522716402432
28,969.3091,3.6825895,964.1761,966.60425,969.00024,972.06165,974.64105,975.5837130357826
29,969.51807,3.6858017,964.4049,966.8193,969.2318,972.2661,974.8652,975.6147701855818
30,969.7327,3.689397,964.64014,967.0405,969.4697,972.47626,975.0955,975.6454236540461
31,969.9523,3.6934414,964.8808,967.2551,969.701,972.6912,975.3315,975.6756540055802
32,970.176,3.6979313,965.12616,967.46204,969.92847,972.9103,975.57214,975.7054418045897
33,970.40314,3.702918,965.3753,967.67145,970.18536,973.1328,975.8169,975.7347676154797
34,970.6329,3.7083929,965.6274,967.8827,970.4567,973.3579,976.0647,975.7636120026553
35,970.8645,3.7143872,965.88153,968.0952,970.72034,973.585,976.31506,975.7919555305218
