time_index,mean,std,p05,p25,p50,p75,p95,actual
0,354.0144,1.8083438,351.1619,352.77155,354.0081,355.29346,356.80655,359.5727
1,354.04074,1.8093517,351.18262,352.80103,354.03522,355.32294,356.84042,359.61023
2,354.06723,1.8103275,351.2038,352.83054,354.06244,355.3522,356.8742,359.64922
3,354.09393,1.8112998,351.2254,352.86008,354.08984,355.38135,356.90793,359.6898
4,354.12097,1.8122777,351.24756,352.88974,354.11755,355.41052,356.94174,359.73213
5,354.14835,1.8132814,351.27032,352.91956,354.14563,355.43982,356.97568,359.77636
6,354.17615,1.8143374,351.29367,352.9496,354.1742,355.46927,357.00986,359.82265
7,354.20447,1.8154484,351.31772,352.97983,354.2033,355.49283,357.0443,359.87115
8,354.23328,1.81664,351.3425,353.01038,354.233,355.51495,357.07913,359.922
9,354.26273,1.817931,351.36804,353.04126,354.2635,355.5378,357.11444,359.97536
10,354.29288,1.8193413,351.3944,353.07257,354.29474,355.56152,357.15027,360.03138
11,354.32382,1.82088,351.42166,353.1043,354.3269,355.58664,357.1867,360.09021
12,354.3555,1.8225714,351.44986,353.13657,354.36005,355.6129,357.22388,360.152
13,354.38812,1.8244373,351.479,353.1693,354.39426,355.64038,357.26178,360.2221
14,354.42178,1.8264946,351.5093,353.2028,354.42975,355.6696,357.3007,360.30532
15,354.45694,1.8287797,351.54117,353.23724,354.46692,355.70062,357.34088,360.40099
16,354.49417,1.8313574,351.5752,353.27313,354.5036,355.7341,357.38293,360.50846
17,354.53415,1.8342804,351.61197,353.311,354.53784,355.77066,357.4275,360.62707
18,354.5776,1.8376371,351.65234,353.3515,354.5748,355.81107,357.4753,360.75615
19,354.62537,1.8415111,351.69708,353.39526,354.61496,355.8611,357.5272,360.89506
20,354.67804,1.8460151,351.74695,353.443,354.6588,355.91754,357.58398,361.04313
21,354.73596,1.8511928,351.8049,353.49484,354.70654,355.97992,357.6459,361.1997
22,354.79874,1.8570355,351.8684,353.55057,354.75787,356.0489,357.7127,361.36412
23,354.8661,1.8635135,351.9364,353.60992,354.8126,356.12277,357.78412,361.53572
24,354.93774,1.8706208,352.00894,353.67273,354.87866,356.2013,357.85977,361.71384
25,355.0133,1.878337,352.0808,353.73865,354.94934,356.28418,357.93942,361.89784
26,355.0926,1.8866477,352.1508,353.8075,355.02347,356.371,358.0228,362.08704
27,355.1752,1.8955292,352.22794,353.87903,355.1007,356.4615,358.1096,362.28079
