time_index,mean,std,p05,p25,p50,p75,p95,actual
0,965.5904,1.4028391,963.6394,964.6605,965.4551,966.5205,967.679,944.9395475700555
1,965.83154,1.3988196,963.88617,964.9098,965.70123,966.7573,967.92346,945.1381589251093
2,966.0701,1.3950697,964.1273,965.15643,965.9446,966.99146,968.165,945.3369753641944
3,966.3061,1.3915418,964.3659,965.396,966.2017,967.2328,968.40356,945.5360652486547
4,966.5396,1.3882387,964.6019,965.61957,966.45624,967.4792,968.63934,945.7354969398335
5,966.77045,1.3851305,964.8353,965.8408,966.6797,967.72253,968.8722,945.9353387990748
6,966.9989,1.3821957,965.0663,966.0598,966.90076,967.9783,969.1023,946.1356591877222
7,967.2248,1.3794218,965.29474,966.27655,967.11945,968.2414,969.32947,946.3365264671196
8,967.4483,1.376777,965.5208,966.4912,967.33594,968.4866,969.55396,946.5380089986106
9,967.6694,1.3742596,965.7444,966.7037,967.5502,968.688,969.77563,946.7401751435392
10,967.88806,1.3718562,965.9656,966.914,967.7606,968.88745,969.9946,946.9430932632489
11,968.1044,1.3695304,966.1844,967.12225,967.9428,969.0849,970.2108,947.1468317190836
12,968.31836,1.3672712,966.40094,967.3284,968.1238,969.2805,970.4243,947.3514588723868
13,968.5301,1.3650584,966.6152,967.5305,968.3086,969.4774,970.63525,947.5570430845025
14,968.7395,1.3628671,966.8272,967.72986,968.5055,969.68005,970.84344,947.7636527167742
15,968.9467,1.3607159,967.03687,967.93225,968.70087,969.8805,971.0491,947.9713561305459
16,969.15173,1.3585631,967.2444,968.15173,968.89465,970.07886,971.2516,948.1802216871613
17,969.35455,1.3563911,967.4498,968.3689,969.087,970.27515,971.4516,948.3903177479639
18,969.5552,1.3541946,967.653,968.5766,969.2779,970.46936,971.6493,948.6017126742977
19,969.75366,1.3519558,967.8541,968.7889,969.4673,970.66144,971.8447,948.8144748275063
20,969.95013,1.3496722,968.0531,969.009,969.65533,970.85754,972.0379,949.0286725689336
21,970.14453,1.3473135,968.2437,969.2146,969.8419,971.05176,972.2289,949.2443742599232
22,970.33685,1.3448775,968.432,969.4109,970.02734,971.2438,972.4172,949.4616482618188
23,970.52716,1.342352,968.6184,969.60034,970.2113,971.4337,972.6027,949.6805629359643
24,970.7156,1.339721,968.80316,969.78455,970.39404,971.62146,972.7859,949.9011866437033
25,970.90204,1.3369907,968.98615,969.9668,970.58496,971.80725,972.9667,950.1235877463797
26,971.08655,1.3341362,969.1674,970.14716,970.7739,971.991,973.14514,950.3478346053371
27,971.26917,1.3311536,969.347,970.3256,970.9603,972.1727,973.3213,950.5739955819193
28,971.45,1.3280352,969.52496,970.50226,971.1444,972.3526,973.4951,950.8021390374702
29,971.6289,1.32477,969.7013,970.6771,971.3259,972.53046,973.6667,951.032333333333
30,971.8061,1.3213552,969.8761,970.85016,971.5051,972.70636,973.83606,951.2645784695085
31,971.9812,1.3177651,970.0491,971.02106,971.68146,972.8801,974.0131,951.498601000621
32,972.1531,1.3139422,970.2191,971.19653,971.85376,973.0504,974.1864,951.7340591199522
33,972.3209,1.3098674,970.3855,971.38104,972.0211,973.2167,974.3543,951.9706110207835
34,972.4849,1.3055546,970.54834,971.5622,972.1838,973.3787,974.5169,952.2079148963956
35,972.6451,1.3010248,970.7077,971.7313,972.3417,973.5369,974.67444,952.4456289400703
36,972.8015,1.2963017,970.8635,971.89575,972.495,973.69104,974.82697,952.6834113450886
37,972.95404,1.2914367,971.0158,972.0539,972.6438,973.8414,974.97473,952.9209203047322
38,973.10297,1.2864015,971.1648,972.20575,972.7883,973.98785,975.1178,953.1578140122821
39,973.2482,1.2812772,971.3103,972.3545,972.93933,974.1306,975.2562,953.3937506610196
40,973.3899,1.2760551,971.45245,972.50006,973.0886,974.2697,975.3904,953.6283884442258
41,973.52814,1.2707683,971.5913,972.6425,973.2349,974.40515,975.5202,953.8613855551823
42,973.66284,1.2654531,971.7269,972.78015,973.3783,974.537,975.6459,954.0924001871701
43,973.7941,1.2601056,971.85925,972.90955,973.5186,974.6655,975.7676,954.3210905334707
44,973.92206,1.2547897,971.98846,973.0337,973.65594,974.7905,975.88544,954.5471147873654
45,974.04663,1.2495013,972.11444,973.163,973.7903,974.91223,975.99963,954.7701311421356
46,974.168,1.2442764,972.23724,973.282,973.92163,975.0286,976.1102,954.9897977910623
47,974.28625,1.2391331,972.35706,973.39435,974.0499,975.1426,976.2174,955.2057729274266
48,974.40125,1.2340876,972.47375,973.5025,974.1751,975.2549,976.32135,955.4177147445106
49,974.5133,1.2291609,972.5875,973.6135,974.2973,975.36316,976.4221,955.6252814355948
50,974.6222,1.2243778,972.6982,973.7227,974.4164,975.46765,976.5199,955.8281311939606
51,974.7282,1.2197515,972.80597,973.8286,974.53235,975.56934,976.61487,956.0259222128896
52,974.83124,1.2152911,972.9108,973.9317,974.6452,975.65594,976.7071,956.2183126856629
53,974.93146,1.2110193,973.0129,974.032,974.755,975.74164,976.79675,956.4049608055618
54,975.02893,1.2069474,973.1134,974.1294,974.8519,975.82886,976.88403,956.5855247658678
55,975.12354,1.2030809,973.2239,974.2241,974.94354,975.9137,976.969,956.7596627598618
56,975.2156,1.199429,973.33075,974.31604,975.03265,975.9962,977.0541,956.9270329808254
57,975.30493,1.1960417,973.43414,974.4051,975.1194,976.0804,977.1382,957.0872936220396
58,975.3917,1.1928703,973.5321,974.4916,975.20374,976.1648,977.22,957.2401028767858
59,975.47595,1.1899545,973.62634,974.5752,975.28577,976.24677,977.2996,957.3851189383455
60,975.55774,1.1872978,973.7171,974.6562,975.3657,976.3264,977.3771,957.5219999999998
61,975.6372,1.1849128,973.8043,974.73444,975.4435,976.40344,977.45245,957.6505206144534
62,975.7128,1.1827499,973.88654,974.80835,975.5178,976.4772,977.5244,957.7709207721043
63,975.78033,1.1807427,973.9593,974.8728,975.58417,976.54877,977.588,957.8835568227745
64,975.8371,1.1788489,974.0199,974.9255,975.63995,976.6122,977.6405,957.9887851162852
65,975.88367,1.1770773,974.0691,974.97107,975.6857,976.6676,977.6824,958.0869620024578
66,975.9205,1.1754777,974.1074,975.00964,975.72327,976.71106,977.71564,958.1784438311141
67,975.9481,1.1740834,974.13544,975.0451,975.7589,976.7426,977.75165,958.2635869520757
68,975.96716,1.1728966,974.15393,975.0696,975.7868,976.7398,977.7804,958.342747715164
69,975.9782,1.1719943,974.16327,975.0859,975.8077,976.74,977.8023,958.4162824702008
70,975.9817,1.1714014,974.1642,975.095,975.82587,976.75305,977.8179,958.4845475670071
