date,displacement
2016-07-01,673.7466666666666
2016-07-02,673.9429336688377
2016-07-03,674.1392824027828
2016-07-04,674.3357946002761
2016-07-05,674.5325519930916
2016-07-06,674.7296363130034
2016-07-07,674.9271292917855
2016-07-08,675.1251126612119
2016-07-09,675.3236681530568
2016-07-10,675.5228774990943
2016-07-11,675.7228224310983
2016-07-12,675.923584680843
2016-07-13,676.1252459801024
2016-07-14,676.3278880606506
2016-07-15,676.5315926542615
2016-07-16,676.7364414927096
2016-07-17,676.9425163077685
2016-07-18,677.1498988312125
2016-07-19,677.3586707948156
2016-07-20,677.5689139303518
2016-07-21,677.7807099695951
2016-07-22,677.9941406443199
2016-07-23,678.2092876863001
2016-07-24,678.4262328273096
2016-07-25,678.6450577991227
2016-07-26,678.8658443335132
2016-07-27,679.0886741622555
2016-07-28,679.3136290171234
2016-07-29,679.540790629891
2016-07-30,679.7702407323326
2016-07-31,680.0020610562219
2016-08-01,680.2363333333333
2016-08-02,680.4730575636665
2016-08-03,680.7119068201256
2016-08-04,680.9524724438398
2016-08-05,681.1943457759392
2016-08-06,681.4371181575533
2016-08-07,681.6803809298119
2016-08-08,681.9237254338444
2016-08-09,682.1667430107806
2016-08-10,682.4090250017504
2016-08-11,682.6501627478831
2016-08-12,682.8897475903087
2016-08-13,683.1273708701567
2016-08-14,683.3626239285568
2016-08-15,683.5950981066387
2016-08-16,683.824384745532
2016-08-17,684.0500751863666
2016-08-18,684.271760770272
2016-08-19,684.4890328383776
2016-08-20,684.7014827318137
2016-08-21,684.9087017917095
2016-08-22,685.1102813591949
2016-08-23,685.3058127753994
2016-08-24,685.4948873814528
2016-08-25,685.6770965184846
2016-08-26,685.8520315276248
2016-08-27,686.0192837500028
2016-08-28,686.1784445267484
2016-08-29,686.3291051989913
2016-08-30,686.4708571078611
2016-08-31,686.6032915944874
2016-09-01,686.726
2016-09-02,686.8387126775118
2016-09-03,686.9417160280692
2016-09-04,687.0354354647013
2016-09-05,687.1202964004384
2016-09-06,687.1967242483091
2016-09-07,687.2651444213436
2016-09-08,687.325982332571
2016-09-09,687.3796633950211
2016-09-10,687.4266130217234
2016-09-11,687.4672566257074
2016-09-12,687.5020196200023
2016-09-13,687.5313274176382
2016-09-14,687.5556054316442
2016-09-15,687.5752790750499
2016-09-16,687.590773760885
2016-09-17,687.6025149021789
2016-09-18,687.610927911961
2016-09-19,687.6164382032609
2016-09-20,687.6194711891083
2016-09-21,687.6204522825326
2016-09-22,687.6198068965633
2016-09-23,687.61796044423
2016-09-24,687.6153383385621
2016-09-25,687.6123659925892
2016-09-26,687.6094688193408
2016-09-27,687.6070722318465
2016-09-28,687.6056016431356
2016-09-29,687.6054824662381
2016-09-30,687.6071401141829
2016-10-01,687.611
2016-10-02,687.6173986501444
2016-10-03,687.6263170447745
2016-10-04,687.637647277474
2016-10-05,687.651281441827
2016-10-06,687.6671116314172
2016-10-07,687.6850299398288
2016-10-08,687.7049284606456
2016-10-09,687.7266992874515
2016-10-10,687.7502345138304
2016-10-11,687.7754262333664
2016-10-12,687.8021665396429
2016-10-13,687.8303475262446
2016-10-14,687.8598612867548
2016-10-15,687.8905999147577
2016-10-16,687.9224555038371
2016-10-17,687.9553201475771
2016-10-18,687.9890859395614
2016-10-19,688.023644973374
2016-10-20,688.058889342599
2016-10-21,688.09471114082
2016-10-22,688.1310024616212
2016-10-23,688.1676553985862
2016-10-24,688.2045620452994
2016-10-25,688.2416144953443
2016-10-26,688.2787048423049
2016-10-27,688.3157251797654
2016-10-28,688.3525676013094
2016-10-29,688.3891242005209
2016-10-30,688.425287070984
2016-10-31,688.4609483062823
2016-11-01,688.496
2016-11-02,688.5303693112213
2016-11-03,688.564123661033
2016-11-04,688.5973655360219
