target,v_bar_mm_per_month,sigma_mm_per_month,v0_mm_per_month
MJ9,1.861896708984375,2.288978905667721,7.3708028748120045
MJ1,6.257483793161866,5.557764918492297,20.501755526727393
MJ3,4.7855510217134585,5.809403017680351,18.797132567930888
三点均值（参考）,4.301643841286566,4.552048947280123,15.556563656490093
