指标,传统速率预警,本文概率预警,提升
准确率,1.000,1.000,+0.000
召回率,0.000,0.000,+0.000
精确率,0.000,0.000,+0.000
F1分数,0.000,0.000,+0.000
误报率,0.000,0.000,+0.000
漏报率,0.000,0.000,+0.000
